Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador18_home,jogador19_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_away,jogador19_away,jogador20_home,HS,AS,HST,AST,B365H,B365D,B365A,HTHG,HTAG
19.0,sáb,2021-02-13,18:00,Guimaraes,3.0,1.3,Rio Ave,0,Estádio Dom Afonso Henriques,Gustavo Correia,/pt/partidas/5342964e/Vitoria-Guimaraes-Rio-Ave-2021Fevereiro13-Primeira-Liga,1,3,4-3-3,4-2-3-1,15.0,17.0,11.0,0.0,35.0,2.0,672.0,448.0,14.0,12.0,10.0,8.0,0.0,33.0,3.0,1.0,3.0,9.0,67.0,70.0,2.0,0.0,0.0,2.0,0.0,0.0,Bruno Varela,Abdul Mumin,Ricardo Quaresma,André André,Gideon Mensah,Falaye Sacko,José Luis García Vayá,Rúben Lameiras,Oscar Estupiñan,Jorge Filipe Oliveira Fernandes,Domingos André Ribeiro Almeida,Matouš Trmal,Easah Suliman,Marcus Edwards,Bruno Duarte,Rochinha,Alhassan Wakaso,Zié Mohamed Ouattara,Noah Holm,Paweł Kieszek,Nélson Monte,Filipe Augusto,Gelson,Francisco Geraldes,Pelé,Carlos Mané,Ivo Pinto,Aderlan Santos,Savio,Rafael Camacho,Léo,Ricardo José Vaz Alves Monteiro,Anderson Emanuel Castelo Branco Cruz,Gonçalo Rodrigues,Ronan,Costinha,Pedro Amaral,Ryotaro Meshino,,15,5,7,3,2.15,3.4,3.25,0,2
19.0,sáb,2021-02-13,20:30,Porto,2.6,1.6,Boavista,0,Estádio Do Dragão,Manuel Mota,/pt/partidas/f7d0e836/Porto-Boavista-2021Fevereiro13-Primeira-Liga,2,2,4-4-2,5-3-2,14.0,26.0,7.0,2.0,33.0,9.0,767.0,363.0,16.0,9.0,9.0,22.0,8.0,37.0,1.0,1.0,,,78.0,43.0,2.0,0.0,0.0,4.0,0.0,0.0,Agustín Marchesín,Pepe,Diogo Leite,Mehdi Taremi,Moussa Marega,Jesús Corona,Wilson Manafá,João Mário Lopes,Sérgio Oliveira,Malang Sarr,Fabio Vieira,Diogo Costa,Mamadou Loum,Zaidu Sanusi,Marko Grujić,Otávio,Felipe Anderson,Toni Martínez,Evanilson,Leonardo César Jardim,Reggie Cannon,Adil Rami,Nuno Santos,Gustavo Sauer,Angel Gomes,Alberth Elis,Ricardo Mangas,Jackson Porozo,Paulinho,Cristian Castro,Rafael Bracalli,Alejandro Gómez,Jorge Bengoché,Yusupha Njie,Nathan,Show,Sebastián Pérez Cardona,Yanis Hamache,,17,4,6,4,1.22,6.0,13.0,0,2
19.0,dom,2021-02-14,15:00,Portimonense,2.1,1.1,Gil Vicente,0,Estádio do Portimonense SC,Artur Soares Dias,/pt/partidas/43d2fb1d/Portimonense-Gil-Vicente-FC-2021Fevereiro14-Primeira-Liga,4,1,4-3-3,4-3-3,22.0,13.0,6.0,4.0,15.0,22.0,463.0,589.0,9.0,7.0,19.0,18.0,29.0,18.0,3.0,0.0,9.0,11.0,95.0,88.0,2.0,0.0,0.0,0.0,0.0,0.0,Samuel Portugal,Maurício Antônio,Lucas Possignolo,Dener,Ewerton,Fahd Moufi,Koki Anzai,Bruno Moreira,Willyan,Jafar Salmani,Aylton Boa Morte,Kosuke Nakamura,Fabrício dos Santos Messias,Ricardo Vaz Tê,Beto,Henrique,Luquinha,Lucas Tagliapietra,Fali Candé,Quentin Beunardeau,João Afonso Crispim,Lourency,Claude Gonçalves,Pedro Filipe Barbosa Moreira,Kanya Fujimoto,Rúben Fernandes,Samuel,Talocha,Ygor Nogueira,Paulo Sérgio Mota,Denis,Joel Pereira,Diogo Silva,Rodrigão,Vitor Carvalho,Yves Baraye,Lucas Mineiro,Pedro David Rosendo Marques,,11,9,4,3,2.45,3.1,3.0,2,1
19.0,dom,2021-02-14,16:30,Santa Clara,0.4,0.5,Sp Braga,0,Estádio de São Miguel,João Pinheiro,/pt/partidas/4d9238a2/Santa-Clara-Braga-2021Fevereiro14-Primeira-Liga,0,1,4-2-3-1,3-4-3,17.0,18.0,9.0,3.0,21.0,10.0,567.0,518.0,9.0,10.0,5.0,6.0,12.0,27.0,6.0,1.0,5.0,13.0,74.0,88.0,3.0,0.0,0.0,2.0,0.0,0.0,Marco André Rocha Pereira,Rafael Ramos,Mikel Villanueva,Fábio Cardoso,Mansur,Lincoln,Carlos,Ukra,Hidemasa Morita,Anderson Carvalho,Shahriar Moghanlou,André Ferreira,João Afonso,Allano,Rúben Alexandre Gomes Oliveira,Rui Filipe Cunha Correia,Jean Patric,Diogo Salomão,Rui Costa,Matheus,Vítor Tormena,João Novais,Almoatasem Al Musrati,Abel Ruiz,Ricardo Horta,Cristian Borja,Fransérgio,Raul Silva,Ricardo Esgaio,Galeno,Tiago Sá,José Carlos,Nuno Sequeira,Rolando,Nicolás Gaitán,Lucas Piazon,André Horta,Andraž Šporar,,9,8,2,3,4.5,3.6,1.75,0,1
19.0,dom,2021-02-14,20:15,Moreirense,1.1,1.5,Benfica,0,P.D. Comendador Joaquim de Almeida Freit...,Manuel Oliveira,/pt/partidas/7c3290f1/Moreirense-Benfica-2021Fevereiro14-Primeira-Liga,1,1,3-4-3,4-4-2,17.0,15.0,3.0,9.0,18.0,20.0,458.0,728.0,21.0,15.0,11.0,13.0,29.0,13.0,4.0,1.0,8.0,6.0,79.0,46.0,2.0,0.0,0.0,3.0,0.0,0.0,Mateus Pasinato,Anthony D'Alberto,Lazar Rosić,Nahuel Ferraresi,Abdu Conté,Fábio Pacheco,Lucas,Yan Santos,Filipe Soares,Abdoulaye Ba,Walterson,Miguel Oliveira,Ibrahima Camará,André Luis,David Simão,Afonso Figueiredo,Reynaldo Cesar Moraes,Jefferson Galego,Derik Lacerda,Helton Leite,Álex Grimaldo,Jan Vertonghen,Everton Soares,Darwin Núñez,Haris Seferović,Diogo Gonçalves,Rafa Silva,Julian Weigl,Nicolás Otamendi,Adel Taarabt,Odisseas Vlachodimos,Lucas Veríssimo,Gabriel,Luca Waldschmidt,Franco Cervi,Chiquinho,Pizzi,Pedrinho,,8,18,3,8,8.0,5.0,1.33,1,1
19.0,seg,2021-02-15,20:15,Sp Lisbon,2.0,0.4,Pacos Ferreira,0,Estádio José Alvalade,André Narciso,/pt/partidas/d58d087d/Sporting-CP-Pacos-de-Ferreira-2021Fevereiro15-Primeira-Liga,2,0,3-4-3,5-4-1,27.0,20.0,2.0,4.0,11.0,12.0,482.0,572.0,9.0,10.0,11.0,10.0,13.0,11.0,0.0,3.0,7.0,4.0,66.0,61.0,5.0,0.0,0.0,3.0,0.0,0.0,Antonio Adán,Zouhair Feddal,Sebastián Coates,Nuno Mendes,João Palhinha,João Mário,Tiago Tomás,Paulinho,Pedro Porro,Pedro Gonçalves,Gonçalo Inácio,Luís Maximiano,Matheus Reis,Bruno Tabata,Matheus Nunes,Nuno Santos,Luís Neto,João Pereira,Daniel Bragança,Jordi Almeida,Marco Baixinho,Pedro Rebocho,Hélder Ferreira,Bruno Xavier Almeida Costa,Luther Singh,Luíz Carlos,Maracás,Fernando Ferreira Fonseca,Stephen Eustáquio,Douglas Tanque,Michael,Martín,Zé Uilton,Adriano Castanheira,Dor Jan,Lamine Diaby,Marcelo dos Santos Ferreira,João Pedro Sousa Silva,,7,7,3,2,1.44,4.5,6.5,1,0
19.0,ter,2021-02-16,17:45,Tondela,1.5,0.4,Maritimo,0,Estádio João Cardoso,António Nobre,/pt/partidas/dafe02be/Tondela-Maritimo-2021Fevereiro16-Primeira-Liga,2,1,4-3-3,3-5-2,21.0,19.0,2.0,1.0,13.0,11.0,528.0,499.0,10.0,14.0,13.0,17.0,11.0,16.0,3.0,0.0,7.0,11.0,60.0,89.0,4.0,0.0,0.0,5.0,0.0,0.0,Pedro Trigueira,Bebeto,Salvador Agra,João Pedro,Jhon Murillo,Jaume Grau,Mario González,Roberto Olabe del Arco,Filipe Ferreira,Enzo Martínez,Abdel Jalil Medioub,Babacar Niasse,Pedro Borges,Tomislav Štrkalj,Tiago Melo Almeida,Naoufel Khacef,Ricardo Miguel Martins Alves,Souleymane Anne,Rafael Barbosa,Caio Secco,Cláudio Winck,Lucas Áfrico,Zainadine Júnior,Jean,Rafik Guitane,Franck-Yves Bambock,Rúben Macedo,Tim Söderström,Antreas Karo,Diederrick Joel,Amir Abedzadeh,Jorge Correa,Edgar Costa,Milson,Sassá,Pedro Pelágio,Léo Andrade,Ali Alipour,,13,5,6,3,2.5,3.1,2.9,1,1
14.0,qua,2021-02-17,21:45,Guimaraes,1.5,1.4,Farense,0,Estádio Dom Afonso Henriques,João Pinheiro,/pt/partidas/11949511/Vitoria-Guimaraes-Farense-2021Fevereiro17-Primeira-Liga,2,2,4-3-3,4-2-3-1,15.0,17.0,8.0,4.0,31.0,10.0,597.0,396.0,8.0,10.0,5.0,11.0,14.0,27.0,2.0,3.0,5.0,11.0,76.0,61.0,0.0,0.0,0.0,3.0,0.0,1.0,Bruno Varela,Abdul Mumin,Marcus Edwards,André André,Gideon Mensah,Rochinha,Falaye Sacko,José Luis García Vayá,Oscar Estupiñan,Jorge Filipe Oliveira Fernandes,Miguel Luís,Matouš Trmal,Easah Suliman,Bruno Duarte,Ricardo Quaresma,Rúben Lameiras,Alhassan Wakaso,Zié Mohamed Ouattara,Domingos André Ribeiro Almeida,Rafael Defendi,Amine Oudrhiri,Madi Queita,Braian Mansilla,Ryan Gauld,André Almeida Pinto,Abner,Jonatan Lucca,Alexandre Pinto,Eduardo Mancha,Pedro,Hugo Marques,Filipe Melo,Hugo Seco,Nikola Stojiljković,Burá,Miguel Bandarra,Djalma Campos,Claudio Falcão,,15,8,3,3,1.9,3.25,4.2,2,1
20.0,sex,2021-02-19,20:30,Boavista,1.3,0.8,Moreirense,0,Estádio do Bessa Século XXI,Artur Soares Dias,/pt/partidas/f47f2bdb/Boavista-Moreirense-2021Fevereiro19-Primeira-Liga,1,0,4-3-3,3-4-3,14.0,19.0,10.0,5.0,11.0,23.0,474.0,601.0,20.0,13.0,13.0,9.0,20.0,16.0,2.0,3.0,,,38.0,67.0,3.0,0.0,0.0,2.0,0.0,0.0,Leonardo César Jardim,Reggie Cannon,Chidozie Awaziem,Javi García,Nuno Santos,Gustavo Sauer,Angel Gomes,Alberth Elis,Ricardo Mangas,Paulinho,Cristian Castro,Rafael Bracalli,Alejandro Gómez,Jorge Bengoché,Yusupha Njie,Jackson Porozo,Nathan,Sebastián Pérez Cardona,Tiago Fonseca Morais,Mateus Pasinato,Anthony D'Alberto,Lazar Rosić,Nahuel Ferraresi,Abdu Conté,Fábio Pacheco,Lucas,Yan Santos,Filipe Soares,Abdoulaye Ba,Walterson,Miguel Oliveira,Ibrahima Camará,André Luis,Steven Vitória,David Simão,Afonso Figueiredo,Alexandre Miguel Barros Soares,Derik Lacerda,,11,8,6,1,2.2,3.0,3.6,0,0
20.0,sáb,2021-02-20,15:30,Belenenses,1.9,1.3,Nacional,0,Estádio Nacional,Miguel Nogueira,/pt/partidas/5c9fab8f/Belenenses-SAD-Nacional-2021Fevereiro20-Primeira-Liga,2,1,3-4-3,4-4-2,16.0,12.0,9.0,1.0,19.0,16.0,476.0,469.0,20.0,11.0,5.0,5.0,39.0,24.0,1.0,1.0,10.0,9.0,103.0,113.0,3.0,0.0,0.0,1.0,0.0,0.0,Stanislav Kritsyuk,Diogo Calila,Tomás Ribeiro,Rúben Lima,Mateo Cassierra,Silvestre Varela,Miguel Filipe Nunes Cardoso,Tiago Esgaio,Sphephelo Sithole,Thibang Phete,Henrique,André Moreira,Bruno Ramires,Danny Henriques,Jordan van der Gaag,Francisco Chico,Afonso Taira,Richard,Afonso Sousa,Riccardo Piscitelli,Pedrão,Kenji Gorré,Rúben Micael,João Vigário,Pedro Mendes,Kalindi Alves de Souza,Rui Correia,Bryan Róchez,Francisco Ramos,Brayan Riascos,Rui Encarnação,Abdullahi Ibrahim Alhassan,João Pedro Gomes Camacho,Vladan Danilović,Marco Matias,Vincent Koziello,Rúben Freitas,Julio,,16,13,4,4,2.15,3.1,3.6,1,1
