Unnamed: 0.1,Unnamed: 0,Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,HS,AS,HST,AST,B365H,B365D,B365A
35,35,4,dom,2018-09-02,20:30,Porto,2.3,0.3,Moreirense,43316,Estádio Do Dragão,Hélder Malheiro,/pt/partidas/8b00f45d/Porto-Moreirense-2018Setembro2-Primeira-Liga,3,0,4-4-2,4-4-2,14.0,9.0,11.0,4.0,27.0,17.0,615.0,567.0,21.0,16.0,18.0,18.0,24.0,25.0,6.0,0.0,3.0,7.0,77.0,70.0,2.0,0.0,0.0,1.0,0.0,0.0,Iker Casillas,Maxi Pereira,Éder Militão,Yacine Brahimi,Vincent Aboubakar,Moussa Marega,Alex Telles,Héctor Herrera,Otávio,Sérgio Oliveira,Felipe,Vaná,Diogo Leite,Óliver Torres,Marius Mouandilmadji,Jesús Corona,Adrián López,Jhonatan,João Aurélio,Mohamed Abarhoun,Bilel Aouacheria,Ivanildo Fernandes,Chiquinho,Pedro Nuno,Mamadou Loum,Bruno Silva,Heriberto Tavares,Neto,Pedro Trigueira,Alan Eduardo Schons,Nenê,Patito Rodríguez,Rafik Halliche,Arsénio Martins Lafuente Nunes,15,7,5,3,1.14,7.5,21.0
36,36,5,sex,2018-09-21,20:30,Boavista,1.3,1.4,Chaves,4565,Estádio do Bessa Século XXI,João Pinheiro,/pt/partidas/92e65c20/Boavista-Chaves-2018Setembro21-Primeira-Liga,1,2,4-4-2,4-4-2,15.0,17.0,10.0,2.0,29.0,12.0,631.0,367.0,13.0,18.0,15.0,16.0,17.0,35.0,0.0,0.0,4.0,17.0,88.0,68.0,3.0,0.0,0.0,4.0,0.0,0.0,Helton Leite,Talocha,Rochinha,David Simão,Mateus Galiano da Costa,Fábio Espinho,Carraça,Stéphane Sparagna,Neris,Federico Falcone,Idrissa Mandiang,Rafael Bracalli,Raphael,Nwankwo Obiora,André Claro,Edu Machado,Rafael Costa,Ricardo Jorge Novo Nunes,Paulo Sérgio Mota,Stephen Eustáquio,Gevorg Ghazaryan,Jeferson Fernandes Macedo,William,Nikola Maraš,Marcão,Bruno Gallo,Djavan da Silva Ferreira,Niltinho,António Filipe de Carvalho,Nuno André Coelho,Jefferson de Jesus Santos,Avtandil Ebralidze,André Luis,Luís Martins,19,7,4,3,2.2,3.1,3.5
37,37,5,sáb,2018-09-22,15:30,Santa Clara,1.3,1.8,Rio Ave,3199,Estádio de São Miguel,João Santos Capela,/pt/partidas/1cf74348/Santa-Clara-Rio-Ave-2018Setembro22-Primeira-Liga,1,3,4-4-2,4-2-3-1,21.0,13.0,11.0,3.0,29.0,9.0,405.0,495.0,15.0,18.0,10.0,9.0,15.0,27.0,4.0,1.0,,,72.0,56.0,2.0,1.0,0.0,3.0,0.0,1.0,Marco André Rocha Pereira,Fábio Cardoso,Danildo Accioly,Osama Rashid,João Paulo Lázaro Lucas,Alfredo Stephens,Bruno Lamas,Anderson Carvalho,Zé Manuel,Patrick,Fernando,João Lopes,Ukra,Pedro Pacheco,Paulo Clemente,Minhoca,César,Leonardo César Jardim,Matheus Reis,Jonathan Buatu Mananga,Toni Borevkovic,Diego Lopes,Junio,João Schmidt,Nikola Jambor,Gabriel Airton de Souza,Gelson,Carlos Vinícius,Paulo Vítor Fagundes dos Anjos,Nélson Monte,Ricardo José Vaz Alves Monteiro,Bruno Moreira,Afonso Figueiredo,Galeno,20,10,8,4,2.5,3.1,2.9
38,38,5,sáb,2018-09-22,19:00,Maritimo,0.4,1.1,Belenenses,6137,Estádio dos Barreiros,Hugo Miguel,/pt/partidas/7d06b584/Maritimo-Belenenses-SAD-2018Setembro22-Primeira-Liga,0,0,4-2-3-1,4-3-3,13.0,16.0,7.0,9.0,24.0,22.0,525.0,648.0,11.0,14.0,12.0,16.0,17.0,18.0,3.0,0.0,11.0,9.0,82.0,73.0,1.0,0.0,0.0,1.0,0.0,0.0,Amir Abedzadeh,Bebeto,Marcão,Zainadine Júnior,Jorge Correa,Danny,Jean Cléber,Leandro Barrera,Fabrício Baiano,Fábio China,Diederrick Joel,Charles,Rodrigo Pinho,Edgar Costa,Rúben Rafael Sousa Ferreira,João Gamboa,Nikolaos Ioannidis,Muriel Becker,Vincent Sasso,Licá,Dálcio,Pierre Sagna,Fredy,Gonçalo Silva,Jonatan Lucca,Alhassane Keita,Nuno Miguel Prata Coelho,Reinildo Mandava,Mika,Matija Ljujić,Henrique Almeida,Zakarya Bergdich,Nuno Tomás,André Santos,10,16,3,5,1.95,3.3,4.0
39,39,5,sáb,2018-09-22,21:00,Setubal,0.5,0.8,Porto,10628,Estádio do Bonfim,Manuel Oliveira,/pt/partidas/e08f4838/Vitoria-Setubal-Porto-2018Setembro22-Primeira-Liga,0,2,5-4-1,4-4-2,13.0,16.0,6.0,2.0,25.0,8.0,378.0,609.0,11.0,13.0,15.0,13.0,10.0,35.0,3.0,1.0,3.0,14.0,95.0,84.0,1.0,0.0,0.0,2.0,0.0,0.0,Joel Castro Pereira,Artur Jorge Marques Amorim,Mano,Dankler,Éber Bessa,Vasco Fernandes,André Martins Sousa,Hildeberto Pereira,Frédéric Mendy,José Semedo,Valdu Té,Cristiano Pereira Figueiredo,Nuno Daniel Costeira Valente,Alex,Costinha,Rúben Micael,Zequinha,Iker Casillas,Maxi Pereira,Éder Militão,Yacine Brahimi,Vincent Aboubakar,Moussa Marega,Alex Telles,Héctor Herrera,Danilo Pereira,Otávio,Felipe,Vaná,Chidozie Awaziem,Hernâni Fortes,Óliver Torres,Jesús Corona,André Pereira,10,11,2,4,12.0,5.0,1.28
40,40,5,dom,2018-09-23,16:00,Feirense,0.2,1.1,Nacional,3178,Estádio Marcolino de Castro,Nuno Almeida,/pt/partidas/29ac4680/Feirense-Nacional-2018Setembro23-Primeira-Liga,0,0,4-2-3-1,4-4-2,15.0,25.0,4.0,3.0,21.0,15.0,455.0,425.0,11.0,18.0,12.0,14.0,27.0,18.0,2.0,2.0,11.0,12.0,91.0,87.0,2.0,0.0,0.0,2.0,0.0,0.0,Caio Secco,Antonio Briseño,Luís Machado,Tiago Silva,Edson Rodrigues Farias,Bruno Nascimento,Cris,Edinho,Rafael Crivellaro,Fábio Sturgeon,Vítor Bruno,Bruno Brigido,Babanco,Brian Gómez,João Silva,Tiago Mesquita,João Tavares Almeida,Daniel Guimarães,Nuno Vieira Campos,Abdullahi Ibrahim Alhassan,João Tiago Serrão Garcês,Kenji Gorré,Kalindi Alves de Souza,Witi,Bryan Róchez,Felipe Aliste Lopes,Julio,Vítor Gonçalves,Ohoulo Framelin,Diogo Alexis Rodrigues Coelho,Mauro Cerqueira,Giorgi Arabidze,Okacha Hamzaoui,Diego Barcelos,4,10,0,2,1.95,3.2,4.2
41,41,5,dom,2018-09-23,16:00,Tondela,1.4,1.0,Moreirense,1710,Estádio João Cardoso,Tiago Martins,/pt/partidas/c5b46189/Tondela-Moreirense-2018Setembro23-Primeira-Liga,2,0,4-2-3-1,4-3-3,17.0,15.0,0.0,6.0,7.0,31.0,401.0,632.0,16.0,21.0,8.0,10.0,32.0,9.0,7.0,0.0,10.0,8.0,77.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Cláudio Ramos,Ícaro do Carmo Silva,António Xavier,Hélder Tavares,Jhon Murillo,Sergio Peña,Tomané,Ricardo Costa,David Bruno,Joãozinho,Bruno Monteiro,Pedro José Moreira Silva,João Jaquité,Pité,Juan Delgado,Fahd Moufi,Cristian Arango,Jhonatan,Iago Santos,Rúben Lima,Bilel Aouacheria,Nenê,Ivanildo Fernandes,Chiquinho,Pedro Nuno,Mamadou Loum,Heriberto Tavares,Anthony D'Alberto,Pedro Trigueira,Mohamed Abarhoun,Fábio Pacheco,David Texeira,Patito Rodríguez,Bruno Silva,9,12,4,0,2.2,3.1,3.5
42,42,5,dom,2018-09-23,18:30,Benfica,3.0,1.1,Aves,53606,Estádio do Sport Lisboa e Benfica,Rui Costa,/pt/partidas/75c1f83b/Benfica-Aves-2018Setembro23-Primeira-Liga,2,0,4-3-3,4-3-3,15.0,17.0,13.0,3.0,25.0,8.0,723.0,366.0,16.0,18.0,11.0,16.0,16.0,30.0,3.0,2.0,4.0,10.0,77.0,75.0,1.0,0.0,0.0,4.0,0.0,0.0,Odisseas Vlachodimos,Álex Grimaldo,Ljubomir Fejsa,Rúben Dias,Gabriel,Haris Seferović,Eduardo Salvio,Pizzi,Jardel,André Almeida,João Félix,Bruno Varela,Jonas,Franco Cervi,Andreas Samaris,Rafa Silva,Nicolás Castillo,Quentin Beunardeau,Rodrigo Alves Soares,Rodrigo Defendi,Vitor Costa,Bruno Manuel Araújo Braga,Hamdou Elhouni,Carlos Ponck,Vítor Gomes,Issam El Adoua,Mama Samba Baldé,Bruno Gomes,Raphael Aflalo,Rúben Alexandre Gomes Oliveira,Michel,Nélson Lenho,Claudio Falcão,Derley,26,12,7,4,1.16,7.0,15.0
43,43,5,dom,2018-09-23,20:30,Portimonense,1.0,0.4,Guimaraes,3129,Estádio do Portimonense SC,Luís Godinho,/pt/partidas/64faf7f0/Portimonense-Vitoria-Guimaraes-2018Setembro23-Primeira-Liga,3,2,4-3-3,4-2-3-1,19.0,12.0,5.0,6.0,10.0,21.0,452.0,622.0,24.0,22.0,8.0,7.0,22.0,20.0,0.0,2.0,8.0,6.0,100.0,94.0,2.0,0.0,0.0,4.0,0.0,0.0,Leonardo Navacchio,Jadson,Emmanuel Hackman,Paulinho,Shoya Nakajima,Bruno Tabata,Ewerton,João Carlos,Pedro Sá,Rúben Fernandes,Guilherme Lazaroni,Ricardo Abel Barbosa Ferreira,Dener,Jackson Martínez,Lucas Fernandes,Wellington,,Douglas,Pedrão,Rafa Soares,João Afonso,João Carlos Teixeira,André André,Mattheus Oliveira,Falaye Sacko,Tozé,Alhassan Wakaso,Junior Tallo,João Miguel Macedo Silva,Alexandre Guedes,Víctor Hugo García,Ola John,Frederico Venâncio,Davidson da Luz Pereira,13,9,6,3,2.45,3.1,3.0
44,44,5,seg,2018-09-24,20:15,Sp Braga,0.6,0.5,Sp Lisbon,16038,Estádio Municipal de Braga,Artur Soares Dias,/pt/partidas/a2a44cbd/Braga-Sporting-CP-2018Setembro24-Primeira-Liga,1,0,4-4-2,4-2-3-1,10.0,11.0,5.0,4.0,20.0,16.0,518.0,560.0,18.0,21.0,13.0,12.0,20.0,21.0,0.0,1.0,10.0,11.0,107.0,98.0,1.0,0.0,0.0,2.0,0.0,0.0,Tiago Sá,Nuno Sequeira,Wilson Eduardo,Pablo Santos,João Novais,Ricardo Horta,Claudemir de Souza,Bruno Viana,Ricardo Esgaio,Marcelo Goiano,Dyego Sousa,José Carlos Marafona,Lucas Cunha,Eduardo Teixeira,Murilo Costa,Paulinho,Fábio Martins,Romain Salin,Sebastián Coates,André Almeida Pinto,Bruno Fernandes,Marcos Acuña,Fredy Montero,Stefan Ristovski,Rodrigo Battaglia,Nani,Raphinha,Nemanja Gudelj,Renan Ribeiro,Marcelo dos Santos Ferreira,Jefferson Nascimento,Abdoulay Diaby,Radosav Petrović,Luc Castaignos,13,12,4,3,2.5,3.2,2.87
