Unnamed: 0.1,Unnamed: 0,Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,HS,AS,HST,AST,B365H,B365D,B365A
59,59,7,sáb,2018-10-06,20:30,Sp Braga,1.2,0.7,Rio Ave,12645,Estádio Municipal de Braga,Tiago Martins,/pt/partidas/7b107884/Braga-Rio-Ave-2018Outubro6-Primeira-Liga,1,1,4-4-2,4-2-3-1,26.0,11.0,4.0,7.0,29.0,11.0,544.0,643.0,25.0,10.0,12.0,18.0,10.0,21.0,0.0,2.0,,,76.0,70.0,4.0,0.0,1.0,4.0,0.0,0.0,Tiago Sá,Nuno Sequeira,Wilson Eduardo,Pablo Santos,João Novais,Ricardo Horta,Claudemir de Souza,Bruno Viana,Ricardo Esgaio,Marcelo Goiano,Dyego Sousa,José Carlos Marafona,Lucas Cunha,Eduardo Teixeira,Paulinho,Fábio Martins,Fransérgio,Leonardo César Jardim,Matheus Reis,Jonathan Buatu Mananga,Toni Borevkovic,Diego Lopes,João Schmidt,Fábio Coentrão,Eliseu Cassamá,Nikola Jambor,Gelson,Galeno,Paulo Vítor Fagundes dos Anjos,Miguel Fernando Pereira Rodrigues,Nélson Monte,Ricardo José Vaz Alves Monteiro,Bruno Moreira,Afonso Figueiredo,13,8,5,3,1.4,4.5,7.5
60,60,7,dom,2018-10-07,15:00,Boavista,1.5,1.1,Aves,4331,Estádio do Bessa Século XXI,Vitor Ferreira Fernandes,/pt/partidas/27d70f72/Boavista-Aves-2018Outubro7-Primeira-Liga,1,0,4-2-3-1,4-2-3-1,12.0,23.0,11.0,4.0,26.0,13.0,460.0,445.0,20.0,25.0,12.0,13.0,20.0,31.0,1.0,2.0,10.0,12.0,87.0,90.0,3.0,0.0,0.0,4.0,0.0,0.0,Helton Leite,Gonçalo Cardoso,Nwankwo Obiora,Talocha,Rochinha,David Simão,Fábio Espinho,Carraça,Neris,Índio,Rafael Lopes,Rafael Bracalli,Mateus Galiano da Costa,Koneh Ibrahim,Edu Machado,Rafael Costa,Federico Falcone,Quentin Beunardeau,Rodrigo Alves Soares,Vitor Costa,Rúben Alexandre Gomes Oliveira,Amilton,Carlos Ponck,Vítor Gomes,Issam El Adoua,Diego Galo,Mama Samba Baldé,Bruno Gomes,André Ferreira,Bruno Manuel Araújo Braga,Luis Fariña,Nélson Lenho,Mato Miloš,Claudio Falcão,20,11,5,2,2.0,3.4,3.75
61,61,7,dom,2018-10-07,17:30,Benfica,0.8,0.6,Porto,61567,Estádio do Sport Lisboa e Benfica,Fábio Costa,/pt/partidas/c1987bef/Benfica-Porto-2018Outubro7-Primeira-Liga,1,0,4-3-3,4-4-2,24.0,20.0,2.0,4.0,16.0,19.0,470.0,483.0,20.0,14.0,13.0,17.0,23.0,8.0,3.0,1.0,8.0,9.0,71.0,91.0,4.0,0.0,1.0,5.0,0.0,0.0,Odisseas Vlachodimos,Álex Grimaldo,Ljubomir Fejsa,Rúben Dias,Gabriel,Franco Cervi,Haris Seferović,Eduardo Salvio,Pizzi,Cristian Lema,André Almeida,Mile Svilar,Jonas,Alfa Semedo,Andreas Samaris,Rafa Silva,Nicolás Castillo,Iker Casillas,Maxi Pereira,Éder Militão,Yacine Brahimi,Moussa Marega,Alex Telles,Héctor Herrera,Danilo Pereira,Otávio,Felipe,Tiquinho Soares,Vaná,Chidozie Awaziem,Óliver Torres,Jesús Corona,Chancel Mbemba,André Pereira,10,11,2,1,2.45,3.1,3.0
62,62,7,dom,2018-10-07,20:00,Portimonense,1.7,2.4,Sp Lisbon,5685,Estádio do Portimonense SC,Hugo Miguel,/pt/partidas/6d1071b2/Portimonense-Sporting-CP-2018Outubro7-Primeira-Liga,4,2,4-1-4-1,4-2-3-1,22.0,14.0,5.0,5.0,13.0,20.0,521.0,614.0,19.0,20.0,9.0,14.0,18.0,13.0,0.0,3.0,19.0,3.0,82.0,73.0,5.0,0.0,0.0,1.0,0.0,0.0,Leonardo Navacchio,Lucas Possignolo,Paulinho,Jackson Martínez,Shoya Nakajima,Bruno Tabata,Wilson Manafá,Pedro Sá,Lucas Fernandes,Rúben Fernandes,Vítor Tormena,Ricardo Abel Barbosa Ferreira,Marcel,Emmanuel Hackman,Dener,Ewerton,João Carlos,Romain Salin,Sebastián Coates,André Almeida Pinto,Bruno Fernandes,Marcos Acuña,Fredy Montero,Stefan Ristovski,Rodrigo Battaglia,Raphinha,Jovane Cabral,Nemanja Gudelj,Renan Ribeiro,Marcelo dos Santos Ferreira,Jefferson Nascimento,Nani,Carlos Mané,Abdoulay Diaby,12,17,6,5,4.75,3.6,1.72
63,63,8,sex,2018-10-26,19:00,Nacional,0.4,0.7,Portimonense,1458,Estádio da Madeira,Manuel Oliveira,/pt/partidas/256afda0/Nacional-Portimonense-2018Outubro26-Primeira-Liga,0,1,4-4-1-1,4-3-3,10.0,17.0,1.0,1.0,19.0,9.0,610.0,511.0,23.0,16.0,10.0,6.0,6.0,38.0,2.0,1.0,4.0,12.0,97.0,87.0,1.0,0.0,0.0,1.0,0.0,0.0,Daniel Guimarães,Mauro Cerqueira,Giorgi Arabidze,Kenji Gorré,Fernando Tissone,Kalindi Alves de Souza,Aleksandar Paločević,Bryan Róchez,Felipe Aliste Lopes,Julio,Vítor Gonçalves,Lucas França,Nuno Vieira Campos,Diogo Alexis Rodrigues Coelho,Abdullahi Ibrahim Alhassan,Diego Barcelos,Brayan Riascos,Leonardo Navacchio,Lucas Possignolo,Paulinho,Jackson Martínez,Bruno Tabata,Ewerton,Wilson Manafá,Pedro Sá,Lucas Fernandes,Rúben Fernandes,Vítor Tormena,Ricardo Abel Barbosa Ferreira,Emmanuel Hackman,Dener,Felipe Macedo,João Carlos,Wellington,8,7,3,2,2.62,3.4,2.6
64,64,8,sex,2018-10-26,21:15,Guimaraes,0.8,1.1,Sp Braga,26170,Estádio Dom Afonso Henriques,Hugo Miguel,/pt/partidas/7c71a320/Vitoria-Guimaraes-Braga-2018Outubro26-Primeira-Liga,1,1,4-3-3,4-4-2,18.0,12.0,7.0,4.0,24.0,19.0,458.0,571.0,18.0,20.0,18.0,4.0,22.0,33.0,2.0,1.0,11.0,4.0,73.0,69.0,1.0,0.0,0.0,2.0,0.0,0.0,Douglas,Pedrão,Rafa Soares,Alexandre Guedes,André André,Falaye Sacko,Tozé,Tyler Boyd,Yordan Osorio,Alhassan Wakaso,Davidson da Luz Pereira,João Miguel Macedo Silva,Pedro Rodrigues,Sebastián Rincón,Oscar Estupiñan,Frederico Venâncio,Guillermo Celis,Tiago Sá,Nuno Sequeira,Wilson Eduardo,Pablo Santos,João Novais,Ricardo Horta,Claudemir de Souza,Bruno Viana,Ricardo Esgaio,Marcelo Goiano,Dyego Sousa,José Carlos Marafona,Lucas Cunha,Eduardo Teixeira,Paulinho,Fábio Martins,Fransérgio,13,15,4,1,3.25,3.4,2.14
65,65,8,sáb,2018-10-27,15:30,Aves,1.2,0.9,Santa Clara,1806,Estádio Clube Desportivo das Aves,Fábio Costa,/pt/partidas/501b8146/Aves-Santa-Clara-2018Outubro27-Primeira-Liga,1,2,4-2-3-1,4-4-2,18.0,14.0,8.0,9.0,21.0,12.0,505.0,412.0,13.0,15.0,20.0,9.0,21.0,30.0,4.0,1.0,11.0,13.0,109.0,103.0,2.0,0.0,0.0,2.0,1.0,0.0,André Ferreira,Rodrigo Alves Soares,Rodrigo Defendi,Luis Fariña,Nélson Lenho,Amilton,Vítor Gomes,Derley,Issam El Adoua,Diego Galo,Mama Samba Baldé,Quentin Beunardeau,Bruno Manuel Araújo Braga,Nildo Petrolina,Mato Miloš,Carlos Ponck,Claudio Falcão,Marco André Rocha Pereira,Fábio Cardoso,Osama Rashid,César,Alfredo Stephens,Bruno Lamas,Mamadu Candé,Anderson Carvalho,Zé Manuel,Patrick,Fernando,Serginho,Rui Pedro Oliveira Silva,Pedro Pacheco,Denis Pineda,Abdiel Arroyo,Kaio Pantaleão,17,9,6,4,2.1,3.3,3.5
66,66,8,sáb,2018-10-27,18:00,Rio Ave,0.9,0.8,Chaves,2894,Estádio do Rio Ave Futebol Clube,Hélder Malheiro,/pt/partidas/3a81e986/Rio-Ave-Chaves-2018Outubro27-Primeira-Liga,1,0,4-2-3-1,4-3-3,19.0,24.0,3.0,8.0,10.0,33.0,465.0,503.0,19.0,17.0,10.0,6.0,24.0,22.0,4.0,2.0,,,49.0,71.0,3.0,0.0,0.0,3.0,0.0,0.0,Leonardo César Jardim,Matheus Reis,Nélson Monte,Toni Borevkovic,Ricardo José Vaz Alves Monteiro,Diego Lopes,João Schmidt,Fábio Coentrão,Eliseu Cassamá,Galeno,Carlos Vinícius,Paulo Vítor Fagundes dos Anjos,Jonathan Buatu Mananga,Bruno Moreira,Leandrinho,Afonso Figueiredo,Gabriel Airton de Souza,Ricardo Jorge Novo Nunes,Paulo Sérgio Mota,Nuno André Coelho,Avtandil Ebralidze,Stephen Eustáquio,Gevorg Ghazaryan,Jeferson Fernandes Macedo,William,Marcão,Bruno Gallo,Djavan da Silva Ferreira,António Filipe de Carvalho,Jefferson de Jesus Santos,Renan Bardini Bressan,André Luis,Nikola Maraš,João Teixeira,7,12,5,2,1.95,3.5,3.75
67,67,8,sáb,2018-10-27,20:30,Belenenses,1.8,3.3,Benfica,10635,Estádio Nacional,Artur Soares Dias,/pt/partidas/b828f944/Belenenses-SAD-Benfica-2018Outubro27-Primeira-Liga,2,0,4-3-3,4-3-3,14.0,13.0,5.0,11.0,13.0,30.0,464.0,711.0,19.0,25.0,10.0,15.0,38.0,9.0,4.0,7.0,8.0,1.0,88.0,70.0,2.0,0.0,0.0,2.0,0.0,0.0,Muriel Becker,Eduardo Henrique,Vincent Sasso,Licá,Diogo Viana,Zakarya Bergdich,André Santos,Gonçalo Silva,Jonatan Lucca,Alhassane Keita,Reinildo Mandava,Mika,Matija Ljujić,Fredy,Nuno Tomás,Nuno Miguel Prata Coelho,Ousmane Dramé,Odisseas Vlachodimos,Álex Grimaldo,Ljubomir Fejsa,Rúben Dias,Haris Seferović,Eduardo Salvio,Pizzi,Rafa Silva,Jardel,André Almeida,Gedson Fernandes,Mile Svilar,Gabriel,Jonas,Franco Cervi,Alfa Semedo,Andrija Živković,7,24,6,7,7.5,5.0,1.36
68,68,8,dom,2018-10-28,15:00,Moreirense,1.5,1.7,Maritimo,1627,P.D. Comendador Joaquim de Almeida Freit...,João Santos Capela,/pt/partidas/27fb73e4/Moreirense-Maritimo-2018Outubro28-Primeira-Liga,1,0,4-2-3-1,4-4-1-1,14.0,11.0,4.0,4.0,16.0,18.0,502.0,548.0,14.0,22.0,10.0,12.0,13.0,17.0,1.0,7.0,8.0,15.0,77.0,94.0,1.0,0.0,0.0,2.0,0.0,0.0,Jhonatan,João Aurélio,Mohamed Abarhoun,Rúben Lima,Fábio Pacheco,Nenê,Ivanildo Fernandes,Patito Rodríguez,Chiquinho,Mamadou Loum,Heriberto Tavares,Pedro Trigueira,Iago Santos,David Texeira,Pedro Nuno,Bruno Silva,Arsénio Martins Lafuente Nunes,Amir Abedzadeh,Bebeto,Zainadine Júnior,Lucas Áfrico,Jorge Correa,Rodrigo Pinho,Danny,Jean Cléber,Leandro Barrera,Josip Vuković,Fábio China,Charles,Marcão,Everton Nascimento de Mendonça,Edgar Costa,Rúben Rafael Sousa Ferreira,Fabrício Baiano,19,11,5,2,2.3,3.3,3.1
69,69,8,dom,2018-10-28,15:00,Tondela,0.6,0.5,Setubal,1393,Estádio João Cardoso,João Pinto,/pt/partidas/7db819f4/Tondela-Vitoria-Setubal-2018Outubro28-Primeira-Liga,1,2,4-4-2,4-4-2,19.0,21.0,7.0,6.0,26.0,22.0,539.0,399.0,9.0,18.0,13.0,21.0,25.0,32.0,0.0,2.0,7.0,6.0,97.0,92.0,3.0,0.0,0.0,3.0,0.0,0.0,Cláudio Ramos,Ícaro do Carmo Silva,António Xavier,Hélder Tavares,Juan Delgado,Sergio Peña,Tomané,Ricardo Costa,David Bruno,Joãozinho,Bruno Monteiro,Pedro José Moreira Silva,João Jaquité,Pité,Jhon Murillo,João Reis,Jorge Filipe Oliveira Fernandes,Joel Castro Pereira,Mano,Dankler,Nuno Daniel Costeira Valente,Alex,Éber Bessa,Vasco Fernandes,André Martins Sousa,Frédéric Mendy,José Semedo,Mikel Agu,Milton Raphael,Artur Jorge Marques Amorim,Nuno Pinto,Valdu Té,Zequinha,Kermit Erasmus,10,9,6,3,2.3,3.1,3.2
70,70,8,dom,2018-10-28,17:30,Porto,3.0,0.3,Feirense,46028,Estádio Do Dragão,Rui Oliveira,/pt/partidas/7f2d868c/Porto-Feirense-2018Outubro28-Primeira-Liga,2,0,4-4-2,4-2-3-1,21.0,11.0,4.0,6.0,18.0,18.0,604.0,418.0,17.0,14.0,4.0,9.0,20.0,19.0,3.0,4.0,4.0,11.0,70.0,85.0,1.0,0.0,0.0,3.0,0.0,0.0,Iker Casillas,Maxi Pereira,Éder Militão,Yacine Brahimi,Óliver Torres,Moussa Marega,Alex Telles,Jesús Corona,Danilo Pereira,Felipe,Tiquinho Soares,Vaná,Hernâni Fortes,Héctor Herrera,Chancel Mbemba,Adrián López,André Pereira,Caio Secco,Antonio Briseño,Luís Machado,Tiago Silva,Edson Rodrigues Farias,Bruno Nascimento,Kódjo Alphonse,Tiago Mesquita,Edinho,Fábio Sturgeon,Vítor Bruno,Bruno Brigido,Diogo Miguel Guedes Almeida,Brian Gómez,João Silva,José Adolfo Valencia,Zé Pedro,17,6,7,3,1.14,7.5,17.0
71,71,8,dom,2018-10-28,20:00,Sp Lisbon,2.7,0.6,Boavista,27784,Estádio José Alvalade,Carlos Xistra,/pt/partidas/16c94c0b/Sporting-CP-Boavista-2018Outubro28-Primeira-Liga,3,0,4-2-3-1,4-2-3-1,12.0,14.0,9.0,4.0,32.0,15.0,600.0,420.0,15.0,16.0,17.0,26.0,19.0,33.0,2.0,2.0,6.0,9.0,76.0,67.0,2.0,0.0,0.0,3.0,0.0,0.0,Renan Ribeiro,Sebastián Coates,Bruno Fernandes,Marcos Acuña,Fredy Montero,Rodrigo Battaglia,Nani,Jérémy Mathieu,Abdoulay Diaby,Bruno Gaspar,Nemanja Gudelj,Romain Salin,André Almeida Pinto,Bruno César,Carlos Mané,Radosav Petrović,Bas Dost,Helton Leite,Gonçalo Cardoso,Talocha,Rochinha,David Simão,Mateus Galiano da Costa,Fábio Espinho,Edu Machado,Neris,Rafael Lopes,Idrissa Mandiang,Rafael Bracalli,Raphael,Nwankwo Obiora,André Claro,Koneh Ibrahim,Rafael Costa,21,10,9,1,1.3,5.25,9.5
72,72,9,sex,2018-11-02,20:30,Benfica,2.1,1.1,Moreirense,47216,Estádio do Sport Lisboa e Benfica,Nuno Almeida,/pt/partidas/31570dc9/Benfica-Moreirense-2018Novembro2-Primeira-Liga,1,3,4-3-3,4-2-3-1,17.0,12.0,8.0,2.0,34.0,6.0,793.0,457.0,12.0,10.0,11.0,24.0,11.0,39.0,1.0,2.0,6.0,15.0,72.0,79.0,2.0,1.0,0.0,3.0,0.0,0.0,Odisseas Vlachodimos,Álex Grimaldo,Ljubomir Fejsa,Rúben Dias,Jonas,Pizzi,Rafa Silva,Jardel,André Almeida,João Félix,Gedson Fernandes,Bruno Varela,Gabriel,Franco Cervi,Eduardo Salvio,Facundo Ferreyra,Andreas Samaris,Jhonatan,Mohamed Abarhoun,Rúben Lima,Fábio Pacheco,Nenê,Ivanildo Fernandes,Chiquinho,Pedro Nuno,Mamadou Loum,Arsénio Martins Lafuente Nunes,Anthony D'Alberto,Pedro Trigueira,Iago Santos,Alan Eduardo Schons,David Texeira,Patito Rodríguez,Bruno Silva,21,9,8,4,1.14,7.5,17.0
73,73,9,sáb,2018-11-03,15:30,Portimonense,1.3,1.4,Belenenses,2921,Estádio do Portimonense SC,João Santos Capela,/pt/partidas/403383ae/Portimonense-Belenenses-SAD-2018Novembro3-Primeira-Liga,1,1,4-3-3,3-5-1-1,19.0,10.0,1.0,6.0,12.0,18.0,426.0,639.0,13.0,21.0,15.0,13.0,26.0,24.0,2.0,1.0,13.0,10.0,66.0,101.0,2.0,0.0,0.0,3.0,0.0,0.0,Leonardo Navacchio,Lucas Possignolo,Paulinho,Jackson Martínez,Shoya Nakajima,Bruno Tabata,Ewerton,Wilson Manafá,Pedro Sá,Rúben Fernandes,Vítor Tormena,Ricardo Abel Barbosa Ferreira,Emmanuel Hackman,Felipe Macedo,João Carlos,João Pedro Pepê,Lucas Fernandes,Muriel Becker,Eduardo Henrique,Vincent Sasso,Licá,Fredy,André Santos,Gonçalo Silva,Jonatan Lucca,Alhassane Keita,Nuno Miguel Prata Coelho,Reinildo Mandava,Mika,Diogo Viana,Matija Ljujić,Zakarya Bergdich,Cleylton Santos,Ousmane Dramé,12,8,3,1,2.0,3.3,3.8
74,74,9,sáb,2018-11-03,18:00,Maritimo,0.3,2.3,Porto,9620,Estádio dos Barreiros,Carlos Xistra,/pt/partidas/1c2a303e/Maritimo-Porto-2018Novembro3-Primeira-Liga,0,2,5-3-2,4-4-2,16.0,15.0,4.0,11.0,14.0,27.0,341.0,653.0,11.0,13.0,12.0,8.0,26.0,11.0,2.0,0.0,12.0,3.0,72.0,75.0,4.0,1.0,0.0,2.0,0.0,0.0,Amir Abedzadeh,Bebeto,Marcão,Zainadine Júnior,Lucas Áfrico,Danny,Jean Cléber,Fabrício Baiano,Josip Vuković,Fábio China,Diederrick Joel,Charles,Jorge Correa,Rodrigo Pinho,Edgar Costa,Leandro Barrera,Ricardo Jorge Oliveira Valente,Iker Casillas,Maxi Pereira,Éder Militão,Yacine Brahimi,Óliver Torres,Moussa Marega,Alex Telles,Jesús Corona,Danilo Pereira,Felipe,Tiquinho Soares,Vaná,Hernâni Fortes,Héctor Herrera,Chancel Mbemba,Adrián López,André Pereira,6,15,2,4,9.5,4.75,1.33
75,75,9,sáb,2018-11-03,20:30,Boavista,0.3,1.5,Guimaraes,5739,Estádio do Bessa Século XXI,Tiago Martins,/pt/partidas/4e2aa4d4/Boavista-Vitoria-Guimaraes-2018Novembro3-Primeira-Liga,0,0,4-2-3-1,4-2-3-1,24.0,13.0,7.0,11.0,19.0,27.0,417.0,564.0,13.0,16.0,21.0,8.0,29.0,18.0,2.0,0.0,12.0,3.0,71.0,89.0,3.0,0.0,0.0,4.0,0.0,0.0,Helton Leite,Gonçalo Cardoso,Nwankwo Obiora,Talocha,Rochinha,Mateus Galiano da Costa,Fábio Espinho,Carraça,Rafael Costa,Neris,Rafael Lopes,Rafael Bracalli,Raphael,André Claro,Koneh Ibrahim,Edu Machado,Índio,Douglas,Pedrão,Rafa Soares,Alexandre Guedes,André André,Mattheus Oliveira,Falaye Sacko,Tozé,Yordan Osorio,Alhassan Wakaso,Davidson da Luz Pereira,João Miguel Macedo Silva,Welthon,Pedro Rodrigues,Hélder Ferreira,Frederico Venâncio,Guillermo Celis,7,20,3,4,2.8,3.1,2.6
76,76,9,dom,2018-11-04,15:00,Feirense,1.3,3.6,Tondela,2136,Estádio Marcolino de Castro,Hugo Miguel,/pt/partidas/62e55da9/Feirense-Tondela-2018Novembro4-Primeira-Liga,2,4,4-2-3-1,4-4-2,17.0,22.0,7.0,6.0,29.0,16.0,554.0,330.0,10.0,18.0,12.0,10.0,30.0,25.0,0.0,1.0,10.0,10.0,90.0,81.0,4.0,0.0,0.0,3.0,0.0,0.0,Caio Secco,Antonio Briseño,Babanco,Luís Machado,Tiago Silva,Bruno Nascimento,Kódjo Alphonse,Tiago Mesquita,Edinho,Fábio Sturgeon,Vítor Bruno,Bruno Brigido,Tiago Gomes,Brian Gómez,Edson Rodrigues Farias,Cris,João Silva,Cláudio Ramos,Ícaro do Carmo Silva,António Xavier,Hélder Tavares,Jhon Murillo,Tomané,Ricardo Costa,David Bruno,Joãozinho,Bruno Monteiro,Cristian Arango,Pedro José Moreira Silva,João Jaquité,Patrick,Juan Delgado,Sergio Peña,João Reis,12,15,5,7,2.3,3.0,3.5
77,77,9,dom,2018-11-04,16:30,Santa Clara,0.8,1.9,Sp Lisbon,9968,Estádio de São Miguel,Manuel Mota,/pt/partidas/8b34f767/Santa-Clara-Sporting-CP-2018Novembro4-Primeira-Liga,1,2,4-2-3-1,4-4-2,10.0,8.0,3.0,7.0,9.0,25.0,349.0,605.0,18.0,17.0,17.0,17.0,18.0,22.0,2.0,0.0,13.0,7.0,66.0,87.0,2.0,1.0,0.0,3.0,0.0,0.0,Marco André Rocha Pereira,Fábio Cardoso,Osama Rashid,Denis Pineda,César,Alfredo Stephens,Bruno Lamas,Mamadu Candé,Anderson Carvalho,Zé Manuel,Patrick,João Lopes,Rui Pedro Oliveira Silva,Pedro Pacheco,Minhoca,Abdiel Arroyo,Kaio Pantaleão,Renan Ribeiro,Sebastián Coates,Bruno Fernandes,Marcos Acuña,Rodrigo Battaglia,Nani,Lumor Agbenyenu,Jérémy Mathieu,Abdoulay Diaby,Bas Dost,Bruno Gaspar,Romain Salin,André Almeida Pinto,Fredy Montero,Luc Castaignos,Jovane Cabral,Nemanja Gudelj,8,18,1,7,6.0,4.0,1.55
78,78,9,dom,2018-11-04,20:00,Sp Braga,1.3,0.9,Setubal,7254,Estádio Municipal de Braga,Hélder Malheiro,/pt/partidas/778f8112/Braga-Vitoria-Setubal-2018Novembro4-Primeira-Liga,2,1,4-4-2,4-2-3-1,18.0,20.0,2.0,5.0,19.0,15.0,642.0,445.0,22.0,11.0,15.0,8.0,22.0,16.0,0.0,2.0,9.0,10.0,75.0,84.0,1.0,0.0,0.0,3.0,0.0,0.0,Tiago Sá,Nuno Sequeira,Pablo Santos,Paulinho,Claudemir de Souza,Fábio Martins,Fransérgio,Bruno Viana,Ricardo Esgaio,Marcelo Goiano,Dyego Sousa,José Carlos Marafona,Lucas Cunha,Wilson Eduardo,Eduardo Teixeira,João Novais,Ricardo Horta,Joel Castro Pereira,Mano,Dankler,Alex,Éber Bessa,Vasco Fernandes,Nuno Pinto,Frédéric Mendy,José Semedo,Mikel Agu,Jhonder Cádiz,Milton Raphael,Artur Jorge Marques Amorim,Nuno Daniel Costeira Valente,Costinha,Pedro Manuel Mota Pinto,Valdu Té,17,13,3,5,1.4,4.75,7.5
79,79,9,seg,2018-11-05,19:00,Rio Ave,2.7,2.7,Nacional,2232,Estádio do Rio Ave Futebol Clube,João Pinto,/pt/partidas/21db2e6b/Rio-Ave-Nacional-2018Novembro5-Primeira-Liga,3,3,4-2-3-1,4-1-4-1,12.0,18.0,3.0,3.0,11.0,17.0,640.0,433.0,16.0,19.0,13.0,15.0,17.0,14.0,3.0,1.0,,,66.0,78.0,2.0,0.0,0.0,5.0,0.0,0.0,Leonardo César Jardim,Matheus Reis,Jonathan Buatu Mananga,Toni Borevkovic,Ricardo José Vaz Alves Monteiro,Diego Lopes,João Schmidt,Fábio Coentrão,Eliseu Cassamá,Galeno,Carlos Vinícius,Paulo Vítor Fagundes dos Anjos,Miguel Fernando Pereira Rodrigues,Bruno Moreira,Leandrinho,Afonso Figueiredo,Gabriel Airton de Souza,Daniel Guimarães,Nuno Vieira Campos,Okacha Hamzaoui,Kenji Gorré,João Pedro Gomes Camacho,Sérgio Marakis,Kalindi Alves de Souza,Aleksandar Paločević,Felipe Aliste Lopes,Julio,Vítor Gonçalves,Lucas França,Diogo Alexis Rodrigues Coelho,Abdullahi Ibrahim Alhassan,João Tiago Serrão Garcês,Witi,Bryan Róchez,13,13,5,6,1.64,3.8,5.0
80,80,9,seg,2018-11-05,21:15,Chaves,1.2,1.0,Aves,2720,Estádio Municipal Eng. Manuel Branco Tei...,Rui Costa,/pt/partidas/97f585fb/Chaves-Aves-2018Novembro5-Primeira-Liga,1,2,4-3-3,4-2-3-1,10.0,14.0,6.0,4.0,41.0,11.0,697.0,454.0,13.0,14.0,12.0,15.0,7.0,42.0,0.0,5.0,6.0,13.0,91.0,82.0,3.0,0.0,0.0,3.0,0.0,0.0,Ricardo Jorge Novo Nunes,Paulo Sérgio Mota,Nuno André Coelho,Jefferson de Jesus Santos,Avtandil Ebralidze,Gevorg Ghazaryan,Renan Bardini Bressan,André Luis,Marcão,Bruno Gallo,Djavan da Silva Ferreira,António Filipe de Carvalho,Jeferson Fernandes Macedo,William,Nikola Maraš,João Teixeira,Niltinho,André Ferreira,Rodrigo Alves Soares,Luis Fariña,Nildo Petrolina,Nélson Lenho,Amilton,Carlos Ponck,Vítor Gomes,Issam El Adoua,Diego Galo,Mama Samba Baldé,Han Jiaqi,Rodrigo Defendi,Hamdou Elhouni,Mato Miloš,Claudio Falcão,Bruno Gomes,13,11,2,5,2.0,3.2,4.2
81,81,10,sex,2018-11-09,19:00,Moreirense,1.1,0.7,Portimonense,1234,P.D. Comendador Joaquim de Almeida Freit...,Hugo Miguel,/pt/partidas/3d20fdc4/Moreirense-Portimonense-2018Novembro9-Primeira-Liga,2,0,4-3-3,4-3-3,17.0,15.0,8.0,6.0,15.0,25.0,519.0,617.0,17.0,9.0,19.0,14.0,29.0,15.0,4.0,2.0,11.0,7.0,80.0,82.0,2.0,0.0,0.0,1.0,0.0,0.0,Jhonatan,Mohamed Abarhoun,Rúben Lima,Fábio Pacheco,Nenê,Ivanildo Fernandes,Chiquinho,Pedro Nuno,Mamadou Loum,Arsénio Martins Lafuente Nunes,Anthony D'Alberto,Pedro Trigueira,João Aurélio,Iago Santos,David Texeira,Patito Rodríguez,Heriberto Tavares,Leonardo Navacchio,Lucas Possignolo,Paulinho,Jackson Martínez,Shoya Nakajima,Bruno Tabata,Wilson Manafá,Pedro Sá,Lucas Fernandes,Rúben Fernandes,Vítor Tormena,Ricardo Abel Barbosa Ferreira,Emmanuel Hackman,Dener,Felipe Macedo,Ewerton,João Carlos,12,12,4,4,2.37,3.4,2.9
82,82,10,sex,2018-11-09,21:15,Setubal,0.6,0.3,Feirense,2196,Estádio do Bonfim,Fábio Costa,/pt/partidas/57a442b7/Vitoria-Setubal-Feirense-2018Novembro9-Primeira-Liga,2,1,4-4-1-1,4-2-3-1,20.0,20.0,7.0,3.0,25.0,14.0,437.0,472.0,13.0,10.0,21.0,7.0,19.0,17.0,5.0,1.0,4.0,12.0,80.0,73.0,4.0,0.0,0.0,4.0,0.0,0.0,Joel Castro Pereira,Mano,Dankler,Nuno Daniel Costeira Valente,Alex,Éber Bessa,Vasco Fernandes,Nuno Pinto,Frédéric Mendy,José Semedo,Mikel Agu,Cristiano Pereira Figueiredo,Artur Jorge Marques Amorim,Costinha,Rúben Micael,Allef,Zequinha,Caio Secco,Antonio Briseño,Babanco,Tiago Silva,Brian Gómez,Edson Rodrigues Farias,Bruno Nascimento,Cris,Edinho,Fábio Sturgeon,Vítor Bruno,Bruno Brigido,Tiago Gomes,Luís Machado,Kódjo Alphonse,João Silva,Tiago Mesquita,10,6,2,1,1.83,3.4,4.5
