Unnamed: 0.1,Unnamed: 0,Rodada,Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador18_home,jogador19_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_away,jogador19_away,HomeTeam,AwayTeam,HS,AS,HST,AST,B365H,B365D,B365A
10,10,Regular season,2.0,sáb,2021-08-14,15:30,Vizela,2.2,1.2,Tondela,613,Estádio Do Vizela,Manuel Oliveira,/pt/partidas/257e1f6f/Vizela-Tondela-2021Agosto14-Primeira-Liga,2,1,4-5-1,4-4-2,18.0,11.0,11.0,4.0,32.0,12.0,508.0,553.0,17.0,14.0,17.0,7.0,15.0,20.0,0.0,1.0,7.0,16.0,64.0,70.0,3.0,0.0,0.0,3.0,0.0,0.0,Charles,Bruno Wilson,Raphael Guzzo,Cassiano,Kiko Bondoso,Marcos Paulo,Samu,Christian Neiva Afonso,Richard Ofori,Koffi Kouao,Nuno Gonçalo Moreira,Ivo Gonçalves,Claudemir de Souza,Marcelo,Igor Julião,Alexis Méndez,Kévin Zohi,Tomás Costa Silva,Guilherme Schettine,Pedro Trigueira,Jota Gonçalves,Salvador Agra,João Pedro,Jhon Murillo,Bebeto,Naoufel Khacef,Tiago Dantas,Daniel,Rafael Barbosa,Eduardo Quaresma,Babacar Niasse,Pedro Borges,Rúben Fonseca,Renat Dadaşov,Iker Undabarrena,Ricardo Miguel Martins Alves,Souleymane Anne,,Vizela,Tondela,20.0,8.0,6.0,2.0,2.37,3.2,2.8
11,11,Regular season,2.0,sáb,2021-08-14,18:00,Benfica,4.0,0.3,Arouca,13973,Estádio do Sport Lisboa e Benfica,Manuel Mota,/pt/partidas/435b2436/Benfica-Arouca-2021Agosto14-Primeira-Liga,2,0,4-4-2,4-3-3,17.0,2.0,4.0,2.0,25.0,3.0,771.0,488.0,24.0,17.0,12.0,14.0,4.0,20.0,8.0,1.0,2.0,19.0,63.0,56.0,1.0,0.0,0.0,0.0,1.0,0.0,Odisseas Vlachodimos,Gilberto,Everton Soares,Luca Waldschmidt,Soualiho Meïté,Roman Yaremchuk,João Mário,Pizzi,Nicolás Otamendi,Gil Bastião Dias,Morato,Helton Leite,Álex Grimaldo,Lucas Veríssimo,Rafa Silva,Julian Weigl,André Almeida,Adel Taarabt,Gonçalo Ramos,Victor Braga,José Manuel Velázquez,Quaresma,André Silva,Arsénio Martins Lafuente Nunes,André Bukia,João Othavio Basso,Pedro Manuel da Silva Moreira,Leandro Miguel Pereira Silva,Eugeni Valderrama,Thales Oleques,Fernando Castro,Brunão,Mauro Andrés Caballero,Adílio Santos,Pité,Or Dasa,Joel Ferreira,Baptiste Aloé,Benfica,Arouca,17.0,3.0,5.0,1.0,1.18,6.5,15.0
12,12,Regular season,2.0,sáb,2021-08-14,20:30,Sp Braga,1.5,0.8,Sp Lisbon,7009,Estádio Municipal de Braga,Luís Godinho,/pt/partidas/f7c11479/Braga-Sporting-CP-2021Agosto14-Primeira-Liga,1,2,3-4-3,3-4-3,18.0,14.0,6.0,5.0,26.0,14.0,600.0,529.0,9.0,18.0,10.0,7.0,8.0,22.0,1.0,1.0,5.0,14.0,91.0,78.0,3.0,0.0,0.0,4.0,0.0,1.0,Matheus,Vítor Tormena,Almoatasem Al Musrati,Abel Ruiz,Lucas Piazon,Paulo Oliveira,Fábio Martins,Fransérgio,Raul Silva,Fabiano,Galeno,Tiago Sá,André Horta,Tiago Esgaio,Rui Fonte,Mario González,Lucas Mineiro,Iuri Medeiros,Roger Fernandes,Antonio Adán,Zouhair Feddal,Sebastián Coates,João Palhinha,Matheus Nunes,Jovane Cabral,Rúben Vinagre,Paulinho,Gonçalo Inácio,Pedro Gonçalves,Ricardo Esgaio,Luís Maximiano,Matheus Reis,Bruno Tabata,Nuno Santos,Luís Neto,Manuel Ugarte Ribeiro,Tiago Tomás,Pedro Porro,Sp Braga,Sp Lisbon,16.0,5.0,6.0,3.0,3.2,3.4,2.15
13,13,Regular season,2.0,dom,2021-08-15,15:30,Portimonense,1.6,0.5,Gil Vicente,717,Estádio do Portimonense SC,Rui Costa,/pt/partidas/8f034ad3/Portimonense-Gil-Vicente-FC-2021Agosto15-Primeira-Liga,0,1,4-2-3-1,4-2-3-1,12.0,18.0,5.0,4.0,16.0,11.0,608.0,559.0,18.0,14.0,9.0,18.0,5.0,13.0,0.0,0.0,8.0,12.0,85.0,68.0,3.0,0.0,0.0,2.0,0.0,0.0,Samuel Portugal,Lucas Possignolo,Willyan,Fali Candé,Lucas Fernandes,Anderson,Beto,Fahd Moufi,Luquinha,Pedro Sá,Aylton Boa Morte,Ricardo Abel Barbosa Ferreira,Henrique Jocú,Jafar Salmani,Filipe Relvas,Giannelli Imbula,Pedrão,Iván Angulo,Carlinhos,Stanislav Kritsyuk,José Carlos,Lucas Cunha,Bilel Aouacheria,Pedro Filipe Barbosa Moreira,Fran Navarro,Kanya Fujimoto,Vitor Carvalho,Rúben Fernandes,Samuel,Talocha,Andrew,Diogo Silva,Emmanuel Hackman,Giorgi Aburjania,Jean,Marcelo,Henrique Gomes,Matheus Bueno,Portimonense,Gil Vicente,18.0,7.0,5.0,4.0,2.3,3.2,3.0
14,14,Regular season,2.0,dom,2021-08-15,18:00,Famalicao,0.7,1.5,Porto,1388,Estádio Municipal 22 de Junho,Nuno Almeida,/pt/partidas/6ae421a7/Famalicao-Porto-2021Agosto15-Primeira-Liga,1,2,3-4-3,4-4-2,15.0,15.0,3.0,2.0,13.0,5.0,433.0,675.0,19.0,21.0,10.0,7.0,12.0,8.0,4.0,1.0,9.0,6.0,75.0,71.0,3.0,0.0,0.0,1.0,0.0,0.0,Luiz Lúcio Reis Júnior,Rúben Lima,Ivo Rodrigues,Ivan Jaime Pajuelo,Bruno Nascimento,Riccieli,Dylan Batubinsika,David Tavares,Alexandre Penetra,Pedro Rodrigues,Diogo Figueiras,Dalberson,Calvin Verdonk,João Neto,André Ricardo,Francisco Saldanha,Geovani,Pablo,Lawrence Ofori,Diogo Costa,Pepe,Luis Díaz,Mateus Uribe,Mehdi Taremi,Wilson Manafá,Chancel Mbemba,João Mário Lopes,Otávio,Bruno Xavier Almeida Costa,Toni Martínez,Agustín Marchesín,Iván Marcano,Francisco Conceição,Pepê,Zaidu Sanusi,Jesús Corona,Sérgio Oliveira,Evanilson,Famalicao,Porto,7.0,12.0,1.0,4.0,7.0,4.5,1.36
15,15,Regular season,2.0,dom,2021-08-15,19:30,Santa Clara,1.8,1.2,Moreirense,876,Estádio de São Miguel,David Silva,/pt/partidas/c9223f4e/Santa-Clara-Moreirense-2021Agosto15-Primeira-Liga,2,2,3-4-3,3-4-3,13.0,22.0,5.0,4.0,13.0,15.0,497.0,449.0,7.0,12.0,8.0,15.0,20.0,9.0,5.0,2.0,5.0,12.0,69.0,70.0,5.0,0.0,0.0,4.0,1.0,0.0,Ricardo Fernandes,Rafael Ramos,Mikel Villanueva,João Afonso,Mansur,Lincoln,Costinha,Carlos,Paulo Henrique Rodrigues Cabral,Hidemasa Morita,Rui Costa,Kennedy Boateng,Allano,Jean Patric,,,,,,Mateus Pasinato,Lazar Rosić,Artur Jorge Marques Amorim,Fábio Pacheco,Felipe Pires,Yan Santos,Steven Vitória,Filipe Soares,Godfried Frimpong,Rúben Ramos,Rafael Martins,Kewin,Rodrigo Conceição,Ibrahima Camará,André Luis,Matheus Silva,Sori Mané,Derik Lacerda,Abdoulaye Ba,Santa Clara,Moreirense,17.0,10.0,4.0,4.0,2.1,3.2,3.25
16,16,Regular season,2.0,seg,2021-08-16,19:00,Boavista,1.5,1.2,Pacos Ferreira,2842,Estádio do Bessa Século XXI,António Nobre,/pt/partidas/fd3b545c/Boavista-Pacos-de-Ferreira-2021Agosto16-Primeira-Liga,3,0,3-4-3,4-3-3,16.0,15.0,2.0,8.0,10.0,25.0,403.0,670.0,18.0,13.0,8.0,8.0,26.0,4.0,0.0,0.0,7.0,7.0,64.0,99.0,3.0,0.0,0.0,2.0,0.0,0.0,Rafael Bracalli,Chidozie Awaziem,Javi García,Kenji Gorré,Gustavo Sauer,Yusupha Njie,Jackson Porozo,Nathan,Sebastián Pérez Cardona,Yanis Hamache,Gaius Makouta,Alireza Beiranvand,Miguel Reisinho,Tomás Reymão,Filipe Ferreira,Rodrigo Abascal,Jeriel Córdova,Tiago Fonseca Morais,Luís Santos,André Ferreira,Marco Baixinho,Vitorino Antunes,Denílson,Juan Delgado,Luíz Carlos,Lucas Silva,Fernando Ferreira Fonseca,Flávio Ramos,Stephen Eustáquio,Nuno Santos,Jeimes,Nuno Lima,Hélder Ferreira,Zé Uilton,Matchoi Djaló,Jorge Fernando Santos Silva,Rui Pires,João Pedro Sousa Silva,Boavista,Pacos Ferreira,8.0,17.0,4.0,5.0,2.62,3.2,2.75
17,17,Regular season,2.0,seg,2021-08-16,21:15,Belenenses,0.3,1.1,Maritimo,653,Estádio Dr. Magalhães Pessoa,Cláudio Ruivo Pereira,/pt/partidas/a50f78a7/Belenenses-SAD-Maritimo-2021Agosto16-Primeira-Liga,1,2,3-5-2,3-5-2,22.0,21.0,3.0,4.0,6.0,8.0,469.0,550.0,15.0,19.0,12.0,11.0,16.0,11.0,1.0,0.0,8.0,6.0,73.0,94.0,4.0,0.0,0.0,5.0,0.0,0.0,Luiz Felipe,Diogo Calila,Tomás Ribeiro,Nilton Varela,Mateo Cassierra,Afonso Sousa,Andrija Luković,Alioune Ndour,Thibang Phete,Chima Akas,Trova Boni,João Monteiro,Pedro Nuno,Sphephelo Sithole,Jójó,Danny Henriques,Luís Mota,César Sousa,Francisco Chico,Paulo Victor Vidotti,Cláudio Winck,Zainadine Júnior,André Vidigal,Ali Alipour,Iván Rossi,Diogo Mendes,Xadas,Jorge Sáenz,Léo Andrade,Vitor Costa,João Miguel Macedo Silva,Matheus Costa,Rúben Macedo,Clésio Baúque,Tim Söderström,Fábio China,Pedro Pelágio,Rodrigo Andrad,Belenenses,Maritimo,5.0,13.0,2.0,4.0,2.37,3.1,3.1
18,18,Regular season,3.0,sex,2021-08-20,19:00,Arouca,2.1,1.1,Famalicao,648,Estádio Municipal de Arouca,David Silva,/pt/partidas/25503867/Arouca-Famalicao-2021Agosto20-Primeira-Liga,2,1,4-2-3-1,4-2-3-1,18.0,22.0,10.0,9.0,30.0,22.0,567.0,563.0,16.0,22.0,10.0,17.0,19.0,32.0,0.0,2.0,5.0,9.0,73.0,85.0,4.0,0.0,0.0,4.0,0.0,0.0,Fernando Castro,José Manuel Velázquez,Quaresma,André Silva,Arsénio Martins Lafuente Nunes,André Bukia,João Othavio Basso,Pedro Manuel da Silva Moreira,Leandro Miguel Pereira Silva,Eugeni Valderrama,Thales Oleques,Norbert Haymamba,Mauro Andrés Caballero,Adílio Santos,Pité,Or Dasa,Joel Ferreira,Baptiste Aloé,Marco Soares,Luiz Lúcio Reis Júnior,Rúben Lima,Ivo Rodrigues,Ivan Jaime Pajuelo,Bruno Nascimento,Riccieli,Dylan Batubinsika,David Tavares,Pablo,Pedro Rodrigues,Diogo Figueiras,Dalberson,Calvin Verdonk,Gustavo Assuncao,João Neto,Hernán De La Fuente,André Ricardo,Alexandre Penetra,Geovani,Arouca,Famalicao,22.0,10.0,6.0,5.0,2.9,3.1,2.5
19,19,Regular season,3.0,sex,2021-08-20,21:15,Moreirense,2.4,2.2,Sp Braga,861,P.D. Comendador Joaquim de Almeida Freit...,Hélder Malheiro,/pt/partidas/61d97348/Moreirense-Braga-2021Agosto20-Primeira-Liga,2,3,3-4-3,3-4-3,14.0,9.0,6.0,0.0,26.0,9.0,546.0,675.0,9.0,11.0,12.0,11.0,13.0,37.0,3.0,1.0,7.0,3.0,72.0,86.0,4.0,0.0,0.0,2.0,0.0,0.0,Mateus Pasinato,Lazar Rosić,Artur Jorge Marques Amorim,Abdu Conté,Fábio Pacheco,Felipe Pires,Yan Santos,Steven Vitória,Filipe Soares,Rúben Ramos,Rafael Martins,Miguel Oliveira,Ibrahima Camará,André Luis,Sori Mané,Godfried Frimpong,Derik Lacerda,Abdoulaye Ba,Paulo Sérgio Mota,Matheus,Vítor Tormena,Almoatasem Al Musrati,André Horta,Paulo Oliveira,Mario González,Fábio Martins,Raul Silva,Iuri Medeiros,Fabiano,Galeno,Tiago Sá,Abel Ruiz,Lucas Piazon,Tiago Esgaio,Rui Fonte,Ricardo Horta,Lucas Mineiro,Roger Fernandes,Moreirense,Sp Braga,13.0,16.0,5.0,7.0,4.75,3.8,1.66
