Unnamed: 0.1,Unnamed: 0,Rodada,Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador18_home,jogador19_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_away,jogador19_away,HomeTeam,AwayTeam,HS,AS,HST,AST,B365H,B365D,B365A
20,20,Regular season,3.0,sáb,2021-08-21,18:00,Gil Vicente,0.4,2.4,Benfica,3751,Estádio Cidade de Barcelos,Nuno Almeida,/pt/partidas/c190f23a/Gil-Vicente-FC-Benfica-2021Agosto21-Primeira-Liga,0,2,4-4-2,3-4-3,6.0,13.0,3.0,9.0,10.0,22.0,494.0,731.0,14.0,17.0,3.0,7.0,16.0,7.0,1.0,2.0,12.0,6.0,76.0,66.0,3.0,0.0,0.0,2.0,0.0,0.0,Stanislav Kritsyuk,José Carlos,Lucas Cunha,Bilel Aouacheria,Pedro Filipe Barbosa Moreira,Kanya Fujimoto,Vitor Carvalho,Rúben Fernandes,Samuel,Talocha,Murilo Costa,Andrew,Diogo Silva,Emmanuel Hackman,Giorgi Aburjania,Jean,Marcelo,Henrique Gomes,,Odisseas Vlachodimos,Gilberto,Lucas Veríssimo,Everton Soares,Soualiho Meïté,Roman Yaremchuk,Nicolás Otamendi,Gil Bastião Dias,Adel Taarabt,Gonçalo Ramos,Morato,Helton Leite,Álex Grimaldo,Darwin Núñez,João Mário,Pizzi,Rafa Silva,Julian Weigl,André Almeida,Gil Vicente,Benfica,5.0,21.0,2.0,7.0,5.5,4.0,1.55
21,21,Regular season,3.0,sáb,2021-08-21,20:30,Sp Lisbon,3.4,0.1,Belenenses,13135,Estádio José Alvalade,Manuel Oliveira,/pt/partidas/4564e4a4/Sporting-CP-Belenenses-SAD-2021Agosto21-Primeira-Liga,2,0,3-4-3,3-5-2,15.0,12.0,10.0,0.0,29.0,1.0,807.0,425.0,19.0,18.0,11.0,17.0,5.0,23.0,1.0,2.0,9.0,13.0,80.0,64.0,2.0,0.0,0.0,2.0,1.0,0.0,Antonio Adán,Sebastián Coates,João Palhinha,Matheus Nunes,Nuno Santos,Luís Neto,Rúben Vinagre,Paulinho,Gonçalo Inácio,Pedro Gonçalves,Ricardo Esgaio,André Paulo,Zouhair Feddal,Nuno Mendes,Bruno Tabata,Jovane Cabral,Manuel Ugarte Ribeiro,Tiago Tomás,Pedro Porro,Luiz Felipe,Diogo Calila,Tomás Ribeiro,Pedro Nuno,Afonso Sousa,Danny Henriques,Alioune Ndour,Francisco Chico,Thibang Phete,Chima Akas,Trova Boni,Álvaro Ramalho,Nilton Varela,Afonso Taira,Andrija Luković,Jójó,Luís Mota,César Sousa,Rafael Santos,Sp Lisbon,Belenenses,26.0,3.0,7.0,0.0,1.16,6.5,15.0
22,22,Regular season,3.0,dom,2021-08-22,15:30,Tondela,0.6,1.2,Portimonense,906,Estádio João Cardoso,Luís Godinho,/pt/partidas/7273e70d/Tondela-Portimonense-2021Agosto22-Primeira-Liga,0,3,4-2-3-1,4-1-4-1,14.0,17.0,6.0,5.0,21.0,9.0,548.0,409.0,7.0,15.0,7.0,9.0,7.0,21.0,0.0,2.0,3.0,13.0,50.0,71.0,4.0,0.0,0.0,4.0,0.0,0.0,Babacar Niasse,Jota Gonçalves,Salvador Agra,João Pedro,Jhon Murillo,Bebeto,Naoufel Khacef,Tiago Dantas,Daniel,Rafael Barbosa,Eduardo Quaresma,Pedro Trigueira,Neto Borges,Pedro Borges,Renat Dadaşov,Tiago Melo Almeida,Iker Undabarrena,Ricardo Miguel Martins Alves,Souleymane Anne,Samuel Portugal,Lucas Possignolo,Willyan,Fali Candé,Lucas Fernandes,Anderson,Beto,Fahd Moufi,Pedrão,Carlinhos,Aylton Boa Morte,Kosuke Nakamura,Henrique Jocú,Luquinha,Pedro Sá,Filipe Relvas,Giannelli Imbula,Pedro Oliveira Casagrande,Iván Angulo,Tondela,Portimonense,11.0,7.0,3.0,5.0,2.75,3.0,2.5
23,23,Regular season,3.0,dom,2021-08-22,18:00,Maritimo,0.6,1.9,Porto,3591,Estádio dos Barreiros,João Pinheiro,/pt/partidas/d18fd926/Maritimo-Porto-2021Agosto22-Primeira-Liga,1,1,3-4-1-2,4-4-2,21.0,17.0,3.0,4.0,7.0,21.0,469.0,632.0,23.0,16.0,15.0,12.0,26.0,3.0,3.0,0.0,15.0,6.0,88.0,86.0,4.0,0.0,0.0,1.0,0.0,0.0,Paulo Victor Vidotti,Cláudio Winck,Zainadine Júnior,André Vidigal,Ali Alipour,Iván Rossi,Diogo Mendes,Xadas,Jorge Sáenz,Léo Andrade,Vitor Costa,João Miguel Macedo Silva,Matheus Costa,Edgar Costa,Rúben Macedo,Clésio Baúque,Fábio China,Pedro Pelágio,Rodrigo Andrad,Diogo Costa,Pepe,Iván Marcano,Luis Díaz,Mateus Uribe,Mehdi Taremi,Chancel Mbemba,João Mário Lopes,Otávio,Bruno Xavier Almeida Costa,Toni Martínez,Cláudio Ramos,Francisco Conceição,Pepê,Jesús Corona,Wilson Manafá,Vitinha,Sérgio Oliveira,Evanilson,Maritimo,Porto,5.0,16.0,1.0,5.0,9.0,4.33,1.33
24,24,Regular season,3.0,dom,2021-08-22,20:30,Guimaraes,3.1,0.6,Vizela,8935,Estádio Dom Afonso Henriques,Hugo Miguel,/pt/partidas/d64c8421/Vitoria-Guimaraes-Vizela-2021Agosto22-Primeira-Liga,4,0,4-3-3,4-5-1,15.0,17.0,8.0,2.0,33.0,4.0,602.0,417.0,11.0,11.0,7.0,13.0,6.0,23.0,2.0,4.0,3.0,11.0,74.0,51.0,4.0,0.0,0.0,4.0,0.0,0.0,Matouš Trmal,Toni Borevkovic,Rafa Soares,Abdul Mumin,Ricardo Quaresma,André André,Rochinha,Falaye Sacko,Oscar Estupiñan,Domingos André Ribeiro Almeida,Tomás Händel,Antal Bencze,Rúben Lameiras,Bruno Duarte,Marcus Edwards,Sílvio,Jorge Filipe Oliveira Fernandes,Herculano Nabian,Tiago Silva,Charles,Bruno Wilson,Raphael Guzzo,Cassiano,Kiko Bondoso,Marcos Paulo,Samu,Christian Neiva Afonso,Richard Ofori,Koffi Kouao,Nuno Gonçalo Moreira,Ivo Gonçalves,Ivanildo Fernandes,Claudemir de Souza,Igor Julião,Alexis Méndez,Kévin Zohi,Tomás Costa Silva,Guilherme Schettine,Guimaraes,Vizela,20.0,4.0,8.0,2.0,1.65,3.6,5.5
25,25,Regular season,3.0,seg,2021-08-23,19:00,Pacos Ferreira,0.7,1.9,Estoril,1569,Estádio da Capital do Móvel,Fábio Veríssimo,/pt/partidas/55dc9019/Pacos-de-Ferreira-Estoril-2021Agosto23-Primeira-Liga,1,3,4-4-2,4-3-3,24.0,12.0,5.0,4.0,21.0,12.0,492.0,503.0,11.0,14.0,5.0,3.0,18.0,27.0,0.0,6.0,9.0,10.0,75.0,54.0,3.0,0.0,0.0,3.0,0.0,0.0,André Ferreira,Marco Baixinho,Vitorino Antunes,Zé Uilton,Juan Delgado,Luíz Carlos,Fernando Ferreira Fonseca,Flávio Ramos,João Pedro Sousa Silva,Stephen Eustáquio,Nuno Santos,Jeimes,Nuno Lima,Hélder Ferreira,Matchoi Djaló,Luís Alves,Jorge Fernando Santos Silva,Lucas Silva,Rui Pires,Daniel Leite,Carles Soria,Lucas Áfrico,Chiquinho,André Clóvis,André Franco,Crespo,Bruno Lourenço,João Gamboa,Nahuel Ferraresi,Joãozinho,Mosquito,Bernardo Vital,Francisco Geraldes,Luciano Vega,Leonardo Ruíz,David Bruno,Ryotaro Meshino,Loreintz Rosier,Pacos Ferreira,Estoril,10.0,14.0,2.0,4.0,2.1,3.1,3.5
26,26,Regular season,3.0,seg,2021-08-23,21:15,Boavista,1.0,1.4,Santa Clara,2799,Estádio do Bessa Século XXI,Tiago Martins,/pt/partidas/bf031ac6/Boavista-Santa-Clara-2021Agosto23-Primeira-Liga,2,0,3-4-3,4-2-3-1,16.0,11.0,5.0,5.0,13.0,13.0,522.0,572.0,18.0,21.0,8.0,12.0,16.0,8.0,1.0,1.0,9.0,4.0,75.0,67.0,3.0,0.0,0.0,3.0,0.0,0.0,Rafael Bracalli,Chidozie Awaziem,Javi García,Kenji Gorré,Gustavo Sauer,Yusupha Njie,Nathan,Sebastián Pérez Cardona,Yanis Hamache,Rodrigo Abascal,Gaius Makouta,Alireza Beiranvand,Tomás Reymão,Ilija Vukotić,Filipe Ferreira,Jeriel Córdova,Martim Tavares,Tiago Fonseca Morais,Luís Santos,Marco André Rocha Pereira,Mikel Villanueva,Kennedy Boateng,Allano,Anderson Carvalho,Lincoln,Paulo Henrique Rodrigues Cabral,Crysan,Rui Costa,Pierre Sagna,Ricardinho,Ricardo Fernandes,Rafael Ramos,João Afonso,Mansur,Mohamed Bouldini,Julio Romão,Rui Filipe Cunha Correia,Jean Patric,Boavista,Santa Clara,9.0,11.0,4.0,2.0,2.3,3.0,3.25
27,27,Regular season,4.0,sex,2021-08-27,19:00,Belenenses,0.5,2.7,Moreirense,573,Estádio Dr. Magalhães Pessoa,Fábio Oliveira Melo,/pt/partidas/5e2dd394/Belenenses-SAD-Moreirense-2021Agosto27-Primeira-Liga,1,1,5-4-1,3-4-3,12.0,13.0,3.0,11.0,7.0,45.0,527.0,600.0,15.0,8.0,9.0,5.0,44.0,11.0,1.0,5.0,4.0,7.0,77.0,68.0,5.0,1.0,0.0,4.0,0.0,0.0,Luiz Felipe,Tomás Ribeiro,Pedro Nuno,Afonso Sousa,Danny Henriques,Carraça,Alioune Ndour,Francisco Chico,Thibang Phete,Chima Akas,Trova Boni,João Monteiro,Diogo Calila,Nilton Varela,Andrija Luković,Luís Mota,César Sousa,Rafael Santos,Jordan van der Gaag,Mateus Pasinato,Lazar Rosić,Artur Jorge Marques Amorim,Abdu Conté,Fábio Pacheco,Felipe Pires,Yan Santos,Steven Vitória,Filipe Soares,Paulo Sérgio Mota,Rafael Martins,Miguel Oliveira,Rodrigo Conceição,Ibrahima Camará,André Luis,Sori Mané,Derik Lacerda,Abdoulaye Ba,Rúben Ramos,Belenenses,Moreirense,4.0,18.0,1.0,6.0,3.5,3.0,2.2
28,28,Regular season,4.0,sex,2021-08-27,21:15,Estoril,1.9,0.3,Maritimo,687,Estádio António Coimbra da Mota,António Nobre,/pt/partidas/92060ec0/Estoril-Maritimo-2021Agosto27-Primeira-Liga,2,1,4-3-3,3-4-1-2,21.0,24.0,1.0,4.0,15.0,15.0,429.0,593.0,19.0,16.0,8.0,11.0,11.0,7.0,0.0,4.0,7.0,8.0,71.0,70.0,7.0,0.0,0.0,6.0,0.0,0.0,Daniel Leite,Lucas Áfrico,Francisco Geraldes,Chiquinho,André Clóvis,Crespo,Bruno Lourenço,David Bruno,Nahuel Ferraresi,Joãozinho,Loreintz Rosier,Mosquito,Carles Soria,Bernardo Vital,André Franco,Leonardo Ruíz,João Gamboa,Ryotaro Meshino,Gilson Tavares,Paulo Victor Vidotti,Cláudio Winck,Zainadine Júnior,André Vidigal,Ali Alipour,Iván Rossi,Diogo Mendes,Xadas,Jorge Sáenz,Léo Andrade,Vitor Costa,João Miguel Macedo Silva,Matheus Costa,Edgar Costa,Rúben Macedo,Clésio Baúque,Fábio China,Pedro Pelágio,Rodrigo Andrad,Estoril,Maritimo,9.0,7.0,3.0,2.0,2.0,3.1,4.0
29,29,Regular season,4.0,sáb,2021-08-28,15:30,Vizela,1.3,0.8,Boavista,1243,Estádio Do Vizela,Rui Costa,/pt/partidas/49ad3276/Vizela-Boavista-2021Agosto28-Primeira-Liga,1,1,4-2-3-1,3-4-3,17.0,10.0,11.0,2.0,31.0,13.0,584.0,503.0,13.0,18.0,5.0,17.0,13.0,25.0,1.0,0.0,5.0,15.0,68.0,77.0,3.0,0.0,0.0,3.0,0.0,0.0,Charles,Bruno Wilson,Ivanildo Fernandes,Claudemir de Souza,Kiko Bondoso,Marcos Paulo,Samu,Christian Neiva Afonso,Koffi Kouao,Nuno Gonçalo Moreira,Guilherme Schettine,Ivo Gonçalves,Raphael Guzzo,Marcelo,Igor Julião,Alexis Méndez,Kévin Zohi,Richard Ofori,Tomás Costa Silva,Rafael Bracalli,Tiago Ilori,Chidozie Awaziem,Javi García,Kenji Gorré,Gustavo Sauer,Yusupha Njie,Nathan,Sebastián Pérez Cardona,Yanis Hamache,Gaius Makouta,Alireza Beiranvand,Petar Musa,Tomás Reymão,Ilija Vukotić,Filipe Ferreira,Rodrigo Abascal,Tiago Fonseca Morais,Luís Santos,Vizela,Boavista,16.0,5.0,4.0,1.0,2.75,3.25,2.5
30,30,Regular season,4.0,sáb,2021-08-28,18:00,Porto,2.8,0.3,Arouca,12588,Estádio Do Dragão,Hélder Malheiro,/pt/partidas/f1a62406/Porto-Arouca-2021Agosto28-Primeira-Liga,3,0,4-4-2,4-2-3-1,16.0,14.0,4.0,5.0,8.0,9.0,632.0,472.0,22.0,19.0,12.0,18.0,11.0,20.0,2.0,1.0,9.0,14.0,81.0,69.0,4.0,0.0,0.0,3.0,0.0,0.0,Diogo Costa,Pepe,Iván Marcano,Luis Díaz,Mateus Uribe,Mehdi Taremi,Chancel Mbemba,João Mário Lopes,Otávio,Bruno Xavier Almeida Costa,Toni Martínez,Cláudio Ramos,Francisco Conceição,Pepê,Wilson Manafá,Vitinha,Wendell,Sérgio Oliveira,Evanilson,Fernando Castro,José Manuel Velázquez,Quaresma,André Silva,Arsénio Martins Lafuente Nunes,André Bukia,João Othavio Basso,Pedro Manuel da Silva Moreira,Leandro Miguel Pereira Silva,Eugeni Valderrama,Thales Oleques,Victor Braga,Adílio Santos,Pité,Oday Dabbagh,Or Dasa,Joel Ferreira,Tiago Esgaio,Marco Soares,Porto,Arouca,15.0,8.0,4.0,1.0,1.18,6.5,15.0
31,31,Regular season,4.0,sáb,2021-08-28,20:30,Famalicao,1.8,1.4,Sp Lisbon,12588,Estádio Municipal 22 de Junho,Fábio Veríssimo,/pt/partidas/2f027294/Famalicao-Sporting-CP-2021Agosto28-Primeira-Liga,1,1,4-2-3-1,3-4-3,12.0,17.0,2.0,9.0,12.0,39.0,495.0,656.0,10.0,17.0,15.0,8.0,24.0,10.0,4.0,3.0,9.0,5.0,73.0,84.0,3.0,0.0,0.0,5.0,0.0,0.0,Luiz Lúcio Reis Júnior,Rúben Lima,Charles Pickel,Ivo Rodrigues,Marcos Paulo,Ivan Jaime Pajuelo,Bruno Nascimento,Riccieli,Alexandre Penetra,Pedro Rodrigues,Diogo Figueiras,Dalberson,Alex,David Tavares,João Neto,Hernán De La Fuente,Diogo Queirós,André Ricardo,Pablo,Antonio Adán,Zouhair Feddal,Sebastián Coates,Nuno Mendes,João Palhinha,Matheus Nunes,Jovane Cabral,Paulinho,Gonçalo Inácio,Pedro Gonçalves,Ricardo Esgaio,João Virgínia,Bruno Tabata,Nuno Santos,Luís Neto,Manuel Ugarte Ribeiro,Rúben Vinagre,Tiago Tomás,Pedro Porro,Famalicao,Sp Lisbon,14.0,15.0,5.0,5.0,6.5,4.5,1.45
32,32,Regular season,4.0,dom,2021-08-29,18:00,Benfica,1.7,0.2,Tondela,19425,Estádio do Sport Lisboa e Benfica,Tiago Martins,/pt/partidas/31ee8673/Benfica-Tondela-2021Agosto29-Primeira-Liga,2,1,4-4-2,3-5-2,9.0,20.0,11.0,0.0,29.0,6.0,896.0,409.0,11.0,31.0,12.0,15.0,5.0,35.0,2.0,2.0,3.0,11.0,58.0,75.0,2.0,0.0,0.0,3.0,0.0,0.0,Odisseas Vlachodimos,Álex Grimaldo,Lucas Veríssimo,Jan Vertonghen,Everton Soares,Darwin Núñez,Soualiho Meïté,João Mário,Pizzi,André Almeida,Gonçalo Ramos,Helton Leite,Gilberto,Haris Seferović,Rodrigo Pinho,Nemanja Radonjić,Rafa Silva,Julian Weigl,Nicolás Otamendi,Babacar Niasse,Neto Borges,Jota Gonçalves,Pedro Borges,Salvador Agra,João Pedro,Tiago Melo Almeida,Iker Undabarrena,Naoufel Khacef,Daniel,Eduardo Quaresma,Pedro Trigueira,Rúben Fonseca,Jhon Murillo,Manu Hernando,Renat Dadaşov,Bebeto,Ricardo Miguel Martins Alves,Rafael Barbosa,Benfica,Tondela,20.0,3.0,8.0,2.0,1.2,6.5,15.0
33,33,Regular season,4.0,dom,2021-08-29,18:00,Sp Braga,1.4,1.0,Guimaraes,7590,Estádio Municipal de Braga,Nuno Almeida,/pt/partidas/ce38509e/Braga-Vitoria-Guimaraes-2021Agosto29-Primeira-Liga,0,0,3-4-3,4-3-3,13.0,16.0,6.0,6.0,18.0,17.0,695.0,490.0,11.0,4.0,5.0,3.0,10.0,25.0,1.0,1.0,6.0,13.0,76.0,79.0,2.0,0.0,0.0,5.0,0.0,0.0,Matheus,Vítor Tormena,Almoatasem Al Musrati,Abel Ruiz,André Horta,Paulo Oliveira,Ricardo Horta,Fábio Martins,Raul Silva,Fabiano,Galeno,Tiago Sá,Yan Couto,Lucas Piazon,Mario González,Lucas Mineiro,Iuri Medeiros,Jean Gorby,Moura,Matouš Trmal,Toni Borevkovic,Rafa Soares,Abdul Mumin,Ricardo Quaresma,André André,Rochinha,Falaye Sacko,Oscar Estupiñan,Domingos André Ribeiro Almeida,Tomás Händel,Antal Bencze,Rúben Lameiras,Bruno Duarte,Marcus Edwards,Sílvio,Alfa Semedo,Jorge Filipe Oliveira Fernandes,Tiago Silva,Sp Braga,Guimaraes,20.0,11.0,6.0,2.0,1.7,3.8,4.75
34,34,Regular season,4.0,dom,2021-08-29,19:30,Santa Clara,1.1,0.4,Gil Vicente,588,Estádio de São Miguel,Hugo Coelho,/pt/partidas/f9228aa4/Santa-Clara-Gil-Vicente-FC-2021Agosto29-Primeira-Liga,1,0,4-2-3-1,4-2-3-1,20.0,13.0,5.0,4.0,15.0,29.0,394.0,678.0,11.0,14.0,19.0,8.0,32.0,14.0,2.0,1.0,10.0,8.0,91.0,75.0,3.0,1.0,0.0,5.0,1.0,0.0,Marco André Rocha Pereira,Rafael Ramos,Mikel Villanueva,Kennedy Boateng,Mansur,Allano,Anderson Carvalho,Lincoln,Crysan,Hidemasa Morita,Rui Costa,Ricardo Fernandes,João Afonso,Mohamed Bouldini,Paulo Henrique Rodrigues Cabral,Rui Filipe Cunha Correia,Jean Patric,Hamidou Keyta,Pierre Sagna,Stanislav Kritsyuk,Lucas Cunha,Emmanuel Hackman,Bilel Aouacheria,Pedro Filipe Barbosa Moreira,Fran Navarro,Kanya Fujimoto,Vitor Carvalho,Rúben Fernandes,Samuel,Talocha,Brian Araújo,José Carlos,Diogo Silva,Giorgi Aburjania,Jean,Marcelo,Henrique Gomes,Matheus Bueno,Santa Clara,Gil Vicente,10.0,5.0,4.0,2.0,2.6,3.0,2.9
35,35,Regular season,4.0,dom,2021-08-29,20:30,Portimonense,1.5,0.8,Pacos Ferreira,1098,Estádio do Portimonense SC,João Pinheiro,/pt/partidas/cbcd5111/Portimonense-Pacos-de-Ferreira-2021Agosto29-Primeira-Liga,0,1,4-1-4-1,4-4-2,12.0,17.0,7.0,3.0,20.0,10.0,614.0,464.0,15.0,18.0,3.0,7.0,12.0,28.0,3.0,1.0,6.0,13.0,90.0,103.0,2.0,0.0,0.0,5.0,0.0,0.0,Samuel Portugal,Lucas Possignolo,Willyan,Fali Candé,Lucas Fernandes,Anderson,Fahd Moufi,Pedrão,Carlinhos,Aylton Boa Morte,Renato Junior,Kosuke Nakamura,Henrique Jocú,Luquinha,Pedro Sá,Filipe Relvas,Giannelli Imbula,Pedro Oliveira Casagrande,Wilinton Aponzá,André Ferreira,Vitorino Antunes,Maracás,Hélder Ferreira,Luíz Carlos,Lucas Silva,Fernando Ferreira Fonseca,Flávio Ramos,Stephen Eustáquio,Nuno Santos,Douglas Tanque,Jeimes,Nuno Lima,Zé Uilton,Denílson,Juan Delgado,Matchoi Djaló,Jorge Fernando Santos Silva,Rui Pires,Portimonense,Pacos Ferreira,18.0,6.0,5.0,2.0,2.05,3.1,3.8
36,36,Regular season,5.0,sáb,2021-09-11,15:30,Pacos Ferreira,0.8,0.8,Sp Braga,1569,Estádio da Capital do Móvel,Willy Delajod,/pt/partidas/f3ba28ec/Pacos-de-Ferreira-Braga-2021Setembro11-Primeira-Liga,0,0,4-4-2,3-4-3,14.0,16.0,11.0,5.0,23.0,13.0,514.0,630.0,11.0,14.0,19.0,9.0,15.0,21.0,1.0,2.0,11.0,10.0,101.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0,André Ferreira,Vitorino Antunes,Maracás,Hélder Ferreira,Denílson,Luíz Carlos,Lucas Silva,Fernando Ferreira Fonseca,Flávio Ramos,Stephen Eustáquio,Nuno Santos,Jeimes,Marco Baixinho,Zé Uilton,Juan Delgado,Matchoi Djaló,Jorge Fernando Santos Silva,Rui Pires,João Pedro Sousa Silva,Matheus,Yan Couto,Vítor Tormena,Diogo Leite,Almoatasem Al Musrati,André Horta,Paulo Oliveira,Mario González,Ricardo Horta,Chiquinho,Fábio Martins,Tiago Sá,Abel Ruiz,Lucas Piazon,Lucas Mineiro,Jean Gorby,Fabiano,Moura,Bruno Rodrigues,Pacos Ferreira,Sp Braga,12.0,10.0,3.0,2.0,4.33,3.4,1.83
37,37,Regular season,5.0,sáb,2021-09-11,17:00,Santa Clara,0.8,1.0,Benfica,3326,Estádio de São Miguel,Rui Costa,/pt/partidas/92fc1957/Santa-Clara-Benfica-2021Setembro11-Primeira-Liga,0,5,3-5-2,3-4-3,20.0,20.0,7.0,2.0,12.0,9.0,396.0,768.0,16.0,12.0,11.0,14.0,8.0,19.0,1.0,0.0,7.0,8.0,59.0,74.0,2.0,0.0,0.0,1.0,0.0,0.0,Marco André Rocha Pereira,Rafael Ramos,Kennedy Boateng,João Afonso,Mansur,Anderson Carvalho,Lincoln,Paulo Henrique Rodrigues Cabral,Crysan,Hidemasa Morita,Rui Costa,Ricardo Fernandes,Andrei Chindriş,Julio Romão,Rui Filipe Cunha Correia,Jean Patric,Luiz Phellype,Mohammad Mohebbi,Pierre Sagna,Odisseas Vlachodimos,Álex Grimaldo,Lucas Veríssimo,Jan Vertonghen,Everton Soares,Darwin Núñez,Diogo Gonçalves,Rodrigo Pinho,João Mário,Julian Weigl,Morato,Helton Leite,Gilberto,Soualiho Meïté,Roman Yaremchuk,Pizzi,Valentino Lazaro,Rafa Silva,Gedson Fernandes,Santa Clara,Benfica,11.0,8.0,5.0,5.0,5.75,4.2,1.53
38,38,Regular season,5.0,sáb,2021-09-11,20:30,Sp Lisbon,1.2,0.4,Porto,18723,Estádio José Alvalade,Nuno Almeida,/pt/partidas/bfa465f5/Sporting-CP-Porto-2021Setembro11-Primeira-Liga,1,1,3-4-3,4-4-2,18.0,21.0,5.0,4.0,20.0,16.0,499.0,531.0,22.0,11.0,10.0,7.0,22.0,14.0,2.0,3.0,7.0,7.0,78.0,51.0,6.0,0.0,0.0,6.0,0.0,1.0,Antonio Adán,Zouhair Feddal,Sebastián Coates,João Palhinha,Matheus Nunes,Jovane Cabral,Nuno Santos,Luís Neto,Rúben Vinagre,Paulinho,Pedro Porro,João Virgínia,Matheus Reis,Bruno Tabata,Pablo Sarabia,Ricardo Esgaio,Geny Catamo,Tiago Ferreira,Daniel Bragança,Diogo Costa,Pepe,Iván Marcano,Luis Díaz,Mateus Uribe,Mehdi Taremi,Jesús Corona,Chancel Mbemba,João Mário Lopes,Otávio,Bruno Xavier Almeida Costa,Cláudio Ramos,Francisco Conceição,Pepê,Marko Grujić,Wilson Manafá,Vitinha,Sérgio Oliveira,Toni Martínez,Sp Lisbon,Porto,9.0,5.0,5.0,1.0,2.6,3.2,2.7
39,39,Regular season,5.0,dom,2021-09-12,15:30,Moreirense,1.5,1.8,Famalicao,1331,P.D. Comendador Joaquim de Almeida Freit...,Manuel Mota,/pt/partidas/27c640c5/Moreirense-Famalicao-2021Setembro12-Primeira-Liga,2,2,4-3-3,4-2-3-1,14.0,10.0,6.0,4.0,20.0,20.0,479.0,589.0,17.0,15.0,12.0,7.0,19.0,31.0,1.0,4.0,7.0,7.0,92.0,80.0,2.0,0.0,0.0,3.0,0.0,0.0,Mateus Pasinato,Lazar Rosić,Artur Jorge Marques Amorim,Abdu Conté,Fábio Pacheco,Felipe Pires,Yan Santos,Filipe Soares,Paulo Sérgio Mota,Gonçalo Franco,Rafael Martins,Miguel Oliveira,Rodrigo Conceição,Walterson,Ibrahima Camará,André Luis,Pedro Amador,Derik Lacerda,Pablo Santos,Luiz Lúcio Reis Júnior,Rúben Lima,Charles Pickel,Ivo Rodrigues,Marcos Paulo,Ivan Jaime Pajuelo,Riccieli,Simon Banza,Alexandre Penetra,Pedro Rodrigues,Diogo Figueiras,Dalberson,Alex,Adrián Marín,Pedro Brazão,Bruno Nascimento,David Tavares,Hernán De La Fuente,Pedro David Rosendo Marques,Moreirense,Famalicao,7.0,15.0,3.0,8.0,2.8,3.1,2.45
40,40,Regular season,5.0,dom,2021-09-12,18:00,Gil Vicente,1.4,2.7,Vizela,2104,Estádio Cidade de Barcelos,Fábio Veríssimo,/pt/partidas/442deefc/Gil-Vicente-FC-Vizela-2021Setembro12-Primeira-Liga,2,2,4-2-3-1,4-2-3-1,12.0,19.0,9.0,7.0,29.0,17.0,593.0,421.0,10.0,17.0,10.0,15.0,16.0,25.0,1.0,6.0,9.0,10.0,78.0,58.0,3.0,0.0,0.0,3.0,0.0,0.0,Brian Araújo,Lucas Cunha,Diogo Silva,Emmanuel Hackman,Bilel Aouacheria,Pedro Filipe Barbosa Moreira,Fran Navarro,Kanya Fujimoto,Vitor Carvalho,Samuel,Henrique Gomes,Andrew,José Carlos,Giorgi Aburjania,Boubacar Hanne,Jean,Marcelo,Talocha,Matheus Bueno,Charles,Bruno Wilson,Ivanildo Fernandes,Claudemir de Souza,Kiko Bondoso,Marcos Paulo,Samu,Christian Neiva Afonso,Koffi Kouao,Nuno Gonçalo Moreira,Guilherme Schettine,Ivo Gonçalves,Raphael Guzzo,Marcelo,Igor Julião,Alexis Méndez,Kévin Zohi,Richard Ofori,Tomás Costa Silva,Gil Vicente,Vizela,21.0,19.0,6.0,6.0,1.95,3.3,3.6
