Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,HS,AS,HST,AST,B365H,B365D,B365A,jogador18_home,jogador18_away,jogador19_away,jogador19_home,jogador20_away,jogador20_home
4.0,sáb,2020-10-17,18:00,Sp Braga,1.6,0.4,Nacional,0,Estádio Municipal de Braga,Artur Soares Dias,/pt/partidas/8c3a0e2c/Braga-Nacional-2020Outubro17-Primeira-Liga,2,1,4-2-3-1,4-1-4-1,11.0,14.0,4.0,2.0,23.0,10.0,849.0,517.0,17.0,9.0,10.0,15.0,11.0,25.0,4.0,1.0,2.0,9.0,100.0,56.0,1.0,0.0,0.0,4.0,0.0,0.0,Matheus,Nuno Sequeira,David Carmo,Paulinho,Ricardo Horta,Fransérgio,Bruno Viana,Iuri Medeiros,Ricardo Esgaio,André Castro,Galeno,Tiago Sá,Vítor Tormena,João Novais,Almoatasem Al Musrati,Abel Ruiz,André Horta,Daniel Guimarães,Lucas Kal,Pedrão,João Pedro Gomes Camacho,Rúben Micael,João Vigário,Rúben Freitas,Nuno Borges,João Victor,Francisco Ramos,Brayan Riascos,Riccardo Piscitelli,Larry Azouni,Abdullahi Ibrahim Alhassan,Vladan Danilović,Kenji Gorré,Witi,20.0,5.0,7.0,2.0,1.33,4.5,7.0,Rodrigo Gomes,Bryan Róchez,Julio,Moura,,
4.0,sáb,2020-10-17,20:30,Sp Lisbon,1.7,1.7,Porto,0,Estádio José Alvalade,Luís Godinho,/pt/partidas/62c93d64/Sporting-CP-Porto-2020Outubro17-Primeira-Liga,2,2,3-4-3,4-1-4-1,17.0,20.0,4.0,1.0,22.0,11.0,584.0,512.0,20.0,14.0,19.0,17.0,13.0,24.0,2.0,3.0,4.0,10.0,84.0,72.0,5.0,0.0,0.0,4.0,0.0,0.0,Antonio Adán,Zouhair Feddal,Sebastián Coates,Nuno Mendes,João Palhinha,Matheus Nunes,Nuno Santos,Luís Neto,Pedro Porro,Pedro Gonçalves,Jovane Cabral,Luís Maximiano,Bruno Tabata,Andraž Šporar,Luciano Vietto,João Mário,Tiago Tomás,Agustín Marchesín,Pepe,Luis Díaz,Mateus Uribe,Moussa Marega,Zaidu Sanusi,Jesús Corona,Wilson Manafá,Chancel Mbemba,Otávio,Sérgio Oliveira,Diogo Costa,Diogo Leite,Mamadou Loum,Mehdi Taremi,Shoya Nakajima,Romário Baró,13.0,10.0,5.0,5.0,3.0,3.25,2.1,Gonzalo Plata,Felipe Anderson,Toni Martínez,Gonçalo Inácio,,
4.0,dom,2020-10-18,15:00,Belenenses,1.0,0.8,Moreirense,0,Estádio Nacional,António Nobre,/pt/partidas/cf29fe08/Belenenses-SAD-Moreirense-2020Outubro18-Primeira-Liga,0,0,3-4-3,4-1-4-1,22.0,15.0,7.0,3.0,26.0,14.0,576.0,479.0,16.0,12.0,13.0,10.0,13.0,19.0,5.0,1.0,7.0,12.0,74.0,88.0,2.0,0.0,0.0,2.0,0.0,0.0,André Moreira,Tomás Ribeiro,Rúben Lima,Cauê Cecilio da Silva,Mateo Cassierra,Silvestre Varela,Miguel Filipe Nunes Cardoso,Tiago Esgaio,Afonso Taira,Thibang Phete,Henrique,Stanislav Kritsyuk,Diogo Calila,Bruno Ramires,Edi Semedo,Danny Henriques,Robinho Vieira,Mateus Pasinato,Lazar Rosić,Fábio Pacheco,Felipe Pires,Matheus Silva,Steven Vitória,Filipe Soares,Alexandre Miguel Barros Soares,Pedro Nuno,Walterson,Pedro Amador,Miguel Oliveira,Nahuel Ferraresi,David Tavares,Lucas,Yan Santos,Reynaldo Cesar Moraes,15.0,8.0,5.0,4.0,2.3,3.1,3.25,Francisco Chico,Jefferson Galego,,Richard,,
4.0,dom,2020-10-18,15:00,Pacos Ferreira,1.2,1.7,Santa Clara,0,Estádio da Capital do Móvel,Vitor Ferreira Fernandes,/pt/partidas/d79256d9/Pacos-de-Ferreira-Santa-Clara-2020Outubro18-Primeira-Liga,2,1,4-3-3,5-4-1,16.0,16.0,7.0,2.0,16.0,18.0,477.0,544.0,10.0,7.0,6.0,7.0,13.0,19.0,6.0,1.0,7.0,5.0,85.0,81.0,2.0,0.0,0.0,2.0,0.0,0.0,Jordi Almeida,Marco Baixinho,Oleg Reabciuk,Bruno Xavier Almeida Costa,Luther Singh,Luíz Carlos,Fernando Ferreira Fonseca,Marcelo dos Santos Ferreira,Stephen Eustáquio,João Amaral,Douglas Tanque,Michael,Martín,Hélder Ferreira,Zé Uilton,Adriano Castanheira,Dor Jan,Marco André Rocha Pereira,Rafael Ramos,Fábio Cardoso,João Afonso,Mansur,Osama Rashid,Carlos,Thiago Santana,Jean Patric,Anderson Carvalho,Diogo Salomão,André Ferreira,Lincoln,Ukra,Julio Romão,Costinha,Rui Filipe Cunha Correia,12.0,15.0,3.0,5.0,2.5,2.9,2.87,Lucas Silva,Cristian González,Shahriar Moghanlou,Lamine Diaby,,
4.0,dom,2020-10-18,17:30,Farense,2.2,1.7,Famalicao,0,Estádio de São Lúis,André Narciso,/pt/partidas/7583e91d/Farense-Famalicao-2020Outubro18-Primeira-Liga,3,3,4-3-3,4-3-3,19.0,14.0,6.0,9.0,22.0,20.0,453.0,652.0,19.0,17.0,23.0,11.0,25.0,24.0,1.0,0.0,8.0,6.0,76.0,75.0,2.0,0.0,0.0,2.0,0.0,1.0,Rafael Defendi,César,Amine Oudrhiri,Hugo Seco,Nikola Stojiljković,Fabrício Isidoro,Ryan Gauld,Jonatan Lucca,Alexandre Pinto,Fábio Alexandre da Silva Nunes,Eduardo Mancha,Hugo Marques,Madi Queita,Braian Mansilla,Burá,Miguel Bandarra,Patrick,Ivan Zlobin,Srđan Babić,Calvin Verdonk,Rúben Lameiras,Gustavo Assuncao,Riccieli,Joaquín Pereyra,Carlos Valenzuela,Edwin Herrera,Bruno Jordão,Dyego Sousa,Vaná,Henrique Trevisan,Gonçalo Rodrigues,Jhonata Robert,Leonardo Campana,Ivan Jaime Pajuelo,13.0,13.0,5.0,5.0,2.4,3.25,2.9,Bilel Aouacheria,Andrija Luković,Gil Bastião Dias,Claudio Falcão,,
4.0,dom,2020-10-18,20:00,Rio Ave,0.2,1.8,Benfica,0,Estádio do Rio Ave Futebol Clube,João Pinheiro,/pt/partidas/140e6bd6/Rio-Ave-Benfica-2020Outubro18-Primeira-Liga,0,3,3-4-3,4-4-2,14.0,17.0,4.0,4.0,13.0,8.0,590.0,618.0,18.0,19.0,14.0,15.0,14.0,14.0,7.0,5.0,3.0,3.0,70.0,74.0,1.0,0.0,0.0,3.0,0.0,0.0,Paweł Kieszek,Nélson Monte,Filipe Augusto,Toni Borevkovic,Ricardo José Vaz Alves Monteiro,Bruno Moreira,Francisco Geraldes,Lucas Piazon,Carlos Mané,Ivo Pinto,Aderlan Santos,Léo,Gelson,Diego Lopes,Pelé,Ronan,Nikola Jambor,Odisseas Vlachodimos,Álex Grimaldo,Jan Vertonghen,Everton Soares,Gabriel,Darwin Núñez,Luca Waldschmidt,Pizzi,Rafa Silva,Nicolás Otamendi,André Almeida,Helton Leite,Gilberto,Haris Seferović,Chiquinho,Julian Weigl,Jardel,4.0,13.0,2.0,6.0,5.0,4.0,1.5,Pedro Amaral,Pedrinho,Nuno Tavares,Ryotaro Meshino,,
4.0,seg,2020-10-19,20:15,Boavista,1.5,0.4,Guimaraes,0,Estádio do Bessa Século XXI,Nuno Almeida,/pt/partidas/f87ce26b/Boavista-Vitoria-Guimaraes-2020Outubro19-Primeira-Liga,0,1,4-2-3-1,4-3-3,21.0,22.0,9.0,4.0,34.0,14.0,549.0,400.0,15.0,12.0,12.0,6.0,9.0,27.0,0.0,2.0,,,58.0,68.0,4.0,0.0,0.0,2.0,0.0,0.0,Leonardo César Jardim,Reggie Cannon,Adil Rami,Chidozie Awaziem,Javi García,Nuno Santos,Gustavo Sauer,Jorge Bengoché,Ricardo Mangas,Show,Paulinho,João Gonçalves,Musa Juwara,Miguel Reisinho,Alberth Elis,Nathan,Sebastián Pérez Cardona,Bruno Varela,Easah Suliman,Marcus Edwards,Bruno Duarte,Ricardo Quaresma,André André,Rochinha,Mikel Agu,Sílvio,Jorge Filipe Oliveira Fernandes,Zié Mohamed Ouattara,Matouš Trmal,Denis-Will Poha,José Luis García Vayá,Jacob Maddox,Jonas Carls,Abou Ouattara,19.0,9.0,2.0,1.0,3.8,3.3,2.0,Yanis Hamache,Noah Holm,Miguel Luís,Cristian Castro,,
5.0,sex,2020-10-23,20:30,Tondela,1.0,1.3,Portimonense,132,Estádio João Cardoso,Vitor Ferreira Fernandes,/pt/partidas/b066b9b0/Tondela-Portimonense-2020Outubro23-Primeira-Liga,1,0,4-4-2,4-4-2,10.0,18.0,5.0,6.0,18.0,23.0,443.0,555.0,10.0,13.0,16.0,16.0,18.0,20.0,1.0,6.0,5.0,8.0,74.0,101.0,2.0,0.0,0.0,2.0,0.0,0.0,Pedro Trigueira,Salvador Agra,João Pedro,Jhon Murillo,Tomislav Štrkalj,Jaume Grau,Filipe Ferreira,Enzo Martínez,Yohan Tavares,Naoufel Khacef,Rafael Barbosa,Joel Sousa,Bebeto,João Jaquité,Pedro Borges,João Mendes,Tiago Melo Almeida,Samuel Portugal,Maurício Antônio,Dener,Lucas Fernandes,Fabrício dos Santos Messias,Anderson,Pedro Sá,Koki Anzai,Willyan,Fali Candé,Aylton Boa Morte,Ricardo Abel Barbosa Ferreira,Lucas Possignolo,Romulo,Ricardo Vaz Tê,Beto,Henrique,8.0,10.0,3.0,4.0,3.5,3.2,2.1,Souleymane Anne,Luquinha,Welinton Júnior,,,
5.0,sáb,2020-10-24,15:30,Nacional,0.4,0.8,Pacos Ferreira,0,Estádio da Madeira,Hugo Coelho,/pt/partidas/277408b0/Nacional-Pacos-de-Ferreira-2020Outubro24-Primeira-Liga,1,1,4-1-4-1,4-3-3,23.0,9.0,3.0,6.0,14.0,20.0,540.0,499.0,15.0,18.0,14.0,13.0,23.0,15.0,4.0,3.0,12.0,6.0,77.0,86.0,3.0,1.0,0.0,1.0,0.0,0.0,Daniel Guimarães,Lucas Kal,Pedrão,João Pedro Gomes Camacho,Kenji Gorré,Rúben Micael,Witi,Rúben Freitas,Vincent Thill,Nuno Borges,Brayan Riascos,Riccardo Piscitelli,Larry Azouni,Abdullahi Ibrahim Alhassan,Vladan Danilović,Gergely Bobál,Bryan Róchez,Jordi Almeida,Marco Baixinho,Oleg Reabciuk,Bruno Xavier Almeida Costa,Luther Singh,Luíz Carlos,Fernando Ferreira Fonseca,Marcelo dos Santos Ferreira,Stephen Eustáquio,João Amaral,Douglas Tanque,Michael,Martín,Hélder Ferreira,Zé Uilton,Adriano Castanheira,Dor Jan,7.0,18.0,2.0,6.0,2.62,3.1,2.75,Julio,Lucas Silva,Lamine Diaby,João Victor,,
5.0,sáb,2020-10-24,17:00,Santa Clara,0.5,1.9,Sp Lisbon,0,Estádio de São Miguel,Manuel Mota,/pt/partidas/309f7fe1/Santa-Clara-Sporting-CP-2020Outubro24-Primeira-Liga,1,2,3-4-3,3-4-3,18.0,9.0,1.0,9.0,8.0,35.0,415.0,656.0,24.0,13.0,12.0,14.0,30.0,10.0,6.0,1.0,14.0,4.0,80.0,67.0,3.0,0.0,0.0,1.0,0.0,0.0,Marco André Rocha Pereira,Fábio Cardoso,João Afonso,Mansur,Lincoln,Carlos,Thiago Santana,Costinha,Anderson Carvalho,Cristian González,Pierre Sagna,André Ferreira,Rafael Ramos,Osama Rashid,João Paulo Lázaro Lucas,Ukra,Julio Romão,Antonio Adán,Zouhair Feddal,Sebastián Coates,Nuno Mendes,João Palhinha,Matheus Nunes,Nuno Santos,Luís Neto,Pedro Porro,Pedro Gonçalves,Jovane Cabral,Luís Maximiano,Andraž Šporar,João Mário,Tiago Tomás,Gonzalo Plata,Cristian Borja,5.0,18.0,2.0,3.0,4.0,3.4,1.9,Rui Filipe Cunha Correia,Gonçalo Inácio,Daniel Bragança,Jean Patric,,
5.0,sáb,2020-10-24,20:30,Porto,2.6,0.8,Gil Vicente,0,Estádio Do Dragão,Hélder Malheiro,/pt/partidas/1c2bfa81/Porto-Gil-Vicente-FC-2020Outubro24-Primeira-Liga,1,0,3-4-1-2,3-4-3,16.0,14.0,8.0,3.0,19.0,16.0,691.0,522.0,14.0,16.0,10.0,8.0,10.0,18.0,3.0,3.0,6.0,6.0,64.0,87.0,5.0,0.0,1.0,2.0,0.0,0.0,Agustín Marchesín,Pepe,Mateus Uribe,Shoya Nakajima,Zaidu Sanusi,Jesús Corona,Wilson Manafá,Chancel Mbemba,Toni Martínez,Evanilson,Fabio Vieira,Diogo Costa,Mehdi Taremi,Moussa Marega,Marko Grujić,Romário Baró,João Mário Lopes,Denis,Joel Pereira,Rodrigão,João Afonso Crispim,Lourency,Claude Gonçalves,Antoine Léautey,Rúben Fernandes,Samuel,Talocha,Ygor Nogueira,Daniel Fuzato,Souleymane Aw,Renan,Kanya Fujimoto,Vitor Carvalho,Yves Baraye,18.0,13.0,7.0,2.0,1.22,6.0,12.0,Sérgio Oliveira,Lucas Mineiro,Leandrinho,Felipe Anderson,,
