,Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away
14,2,dom,2018-08-19,16:00,Nacional,2.7,1.9,Moreirense,2491,Estádio da Madeira,António Nobre,/pt/partidas/9a9dadee/Nacional-Moreirense-2018Agosto19-Primeira-Liga,1,2,4-4-2,4-4-2,10.0,25.0,9.0,2.0,23.0,7.0,606.0,408.0,19.0,19.0,13.0,16.0,7.0,23.0,4.0,1.0,8.0,7.0,102.0,73.0,0.0,0.0,0.0,5.0,0.0,0.0,Daniel Guimarães,Nuno Vieira Campos,Arthur,Diogo Alexis Rodrigues Coelho,Mauro Cerqueira,Abdullahi Ibrahim Alhassan,João Tiago Serrão Garcês,João Pedro Gomes Camacho,Witi,Bryan Róchez,Vítor Gonçalves,Ohoulo Framelin,Giorgi Arabidze,Kenji Gorré,Brayan Riascos,Kalindi Alves de Souza,Aleksandar Paločević,Jhonatan,João Aurélio,Mohamed Abarhoun,Rúben Lima,Bilel Aouacheria,Ivanildo Fernandes,Chiquinho,Pedro Nuno,Mamadou Loum,Heriberto Tavares,Neto,Pedro Trigueira,Iago Santos,Fábio Pacheco,Alan Eduardo Schons,Nenê,Arsénio Martins Lafuente Nunes
15,2,dom,2018-08-19,18:30,B-SAD,1.8,1.7,Porto,10901,Estádio Nacional,Carlos Xistra,/pt/partidas/bbb9aca4/Belenenses-SAD-Porto-2018Agosto19-Primeira-Liga,2,3,4-4-2,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,dom,2018-08-19,19:30,Santa Clara,1.0,0.6,Braga,3915,Estádio de São Miguel,Rui Oliveira,/pt/partidas/5cd22a81/Santa-Clara-Braga-2018Agosto19-Primeira-Liga,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,seg,2018-08-20,20:15,Vitória,0.4,0.3,Feirense,1872,Estádio Dom Afonso Henriques,Hugo Miguel,/pt/partidas/a6e82ec5/Vitoria-Guimaraes-Feirense-2018Agosto20-Primeira-Liga,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,sex,2018-08-24,20:30,Marítimo,1.0,0.4,Chaves,5398,Estádio dos Barreiros,Tiago Martins,/pt/partidas/4703e737/Maritimo-Chaves-2018Agosto24-Primeira-Liga,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,sáb,2018-08-25,16:30,Portimonense,2.2,0.5,Santa Clara,2185,Estádio do Portimonense SC,João Pinheiro,/pt/partidas/9d95a85e/Portimonense-Santa-Clara-2018Agosto25-Primeira-Liga,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,sáb,2018-08-25,19:00,Benfica,1.5,1.3,Sporting CP,60486,Estádio do Sport Lisboa e Benfica,Luís Godinho,/pt/partidas/81b591b1/Derby-de-Lisboa-Benfica-Sporting-CP-2018Agosto25-Primeira-Liga,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,sáb,2018-08-25,21:00,Porto,1.3,1.1,Vitória,47008,Estádio Do Dragão,Fábio Costa,/pt/partidas/62a5e807/Porto-Vitoria-Guimaraes-2018Agosto25-Primeira-Liga,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3,dom,2018-08-26,16:00,Vitória Setúbal,0.6,2.2,Nacional,5690,Estádio do Bonfim,Cláudio Ruivo Pereira,/pt/partidas/653124e5/Vitoria-Setubal-Nacional-2018Agosto26-Primeira-Liga,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3,dom,2018-08-26,16:00,Feirense,0.9,1.0,Boavista,3711,Estádio Marcolino de Castro,Rui Costa,/pt/partidas/f094b00d/Feirense-Boavista-2018Agosto26-Primeira-Liga,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
