Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_home,jogador18_away,jogador19_away,jogador19_home,jogador20_away
17,sáb,2020-01-18,15:30,Vitória,2.4,0.7,Santa Clara,12813,Estádio Dom Afonso Henriques,Manuel Oliveira,/pt/partidas/bca4223d/Vitoria-Guimaraes-Santa-Clara-2020Janeiro18-Primeira-Liga,1,0,4-1-4-1,4-4-2,15.0,21.0,5.0,4.0,30.0,15.0,637.0,491.0,11.0,16.0,10.0,4.0,26.0,38.0,2.0,0.0,3.0,18.0,63.0,106.0,3.0,0.0,0.0,5.0,0.0,0.0,Douglas,Pedrão,Edmond Tapsoba,Lucas Evangelista,André André,Léo Bonatini,Víctor Hugo García,Rochinha,Marcus Edwards,Florent Hanin,Pedro Rodrigues,João Miguel Macedo Silva,Frederico Venâncio,Rafa Soares,João Carlos Teixeira,Denis-Will Poha,João Pedro Sousa Silva,Marco André Rocha Pereira,Fábio Cardoso,João Afonso,Osama Rashid,Carlos,Lincoln,Costinha,Mamadu Candé,Anderson Carvalho,Patrick,Guilherme Schettine,André Ferreira,Zaidu Sanusi,Ukra,César,Thiago Santana,Rui Filipe Cunha Correia,,,,,
17,sáb,2020-01-18,18:00,Tondela,2.3,0.8,Moreirense,1681,Estádio João Cardoso,Vitor Ferreira Fernandes,/pt/partidas/cf2b444b/Tondela-Moreirense-2020Janeiro18-Primeira-Liga,1,1,5-4-1,4-4-2,12.0,21.0,2.0,2.0,16.0,6.0,589.0,546.0,14.0,24.0,14.0,7.0,4.0,15.0,1.0,0.0,6.0,18.0,98.0,82.0,1.0,0.0,0.0,3.0,0.0,0.0,Cláudio Ramos,Bruno Wilson,António Xavier,Pité,José Luis García Vayá,Jhon Murillo,Fahd Moufi,Yohan Tavares,Tomislav Štrkalj,Filipe Ferreira,Ricardo Miguel Martins Alves,Babacar Niasse,João Jaquité,João Pedro,Rúben Fonseca,Jonathan Rubio,Richard,Mateus Pasinato,Lazar Rosić,Anthony D'Alberto,Fábio Pacheco,Steven Vitória,Filipe Soares,Alexandre Miguel Barros Soares,Pedro Nuno,Fábio Abreu,Luís Machado,Abdu Conté,Pedro Trigueira,Iago Santos,Nenê,Ibrahima Camará,Bilel Aouacheria,Patito Rodríguez,,,,,
17,sáb,2020-01-18,20:30,B-SAD,1.2,0.4,Vitória Setúbal,2012,Estádio Nacional,Cláudio Ruivo Pereira,/pt/partidas/0730dad8/Belenenses-SAD-Vitoria-Setubal-2020Janeiro18-Primeira-Liga,0,1,3-4-3,4-2-3-1,15.0,20.0,9.0,3.0,40.0,17.0,609.0,428.0,13.0,12.0,10.0,12.0,19.0,43.0,2.0,1.0,6.0,16.0,89.0,67.0,2.0,0.0,0.0,5.0,0.0,0.0,André Moreira,Licá,André Sousa,Tiago Esgaio,Silvestre Varela,Nilton Varela,André Santos,Tomás Ribeiro,Mateo Cassierra,Gonçalo Silva,Nuno Miguel Prata Coelho,João Monteiro,Francisco Varela,Show,Kikas,Hakim Ouro-Sama,Robinho Vieira,Giorgi Makaridze,Hélder Guedes,Éber Bessa,André Martins Sousa,Sílvio,Braian Mansilla,Bruno Pires,José Semedo,João Meira,Carlinhos,Zequinha,Milton Raphael,Jubal,Artur Jorge Marques Amorim,Nuno Daniel Costeira Valente,Khaled Hachadi,Nuno Pinto,,,,,
17,dom,2020-01-19,15:00,Paços,0.8,0.9,Gil Vicente FC,3711,Estádio da Capital do Móvel,Manuel Mota,/pt/partidas/c3df48b9/Pacos-de-Ferreira-Gil-Vicente-FC-2020Janeiro19-Primeira-Liga,0,0,4-2-3-1,4-3-3,16.0,13.0,7.0,4.0,22.0,14.0,551.0,513.0,23.0,23.0,17.0,8.0,17.0,28.0,4.0,3.0,10.0,5.0,97.0,97.0,1.0,0.0,0.0,1.0,0.0,0.0,Ricardo Ribeiro,Marco Baixinho,Oleg Reabciuk,Pedro Filipe Barbosa Moreira,Hélder Ferreira,Adriano Castanheira,Jorge Fernando Santos Silva,Maracás,João Amaral,Stephen Eustáquio,Douglas Tanque,Simão Bertelli,Bruno Teles,Welthon,Zé Uilton,Lamine Diaby,Vasco Rocha,Denis,Soares,Rodrigão,Lourency,Claude Gonçalves,Zakaria Naidji,Fernando Ferreira Fonseca,Bozhidar Kraev,Rúben Fernandes,Henrique Gomes,Sandro Lima,João Afonso Crispim,Arthur Henrique,Romário Baldé,Edwin Banguera,Yves Baraye,Wellington Luís,,,,,
17,dom,2020-01-19,17:30,Famalicão,1.8,0.3,Marítimo,4687,Estádio Municipal 22 de Junho,Rui Oliveira,/pt/partidas/aef28430/Famalicao-Maritimo-2020Janeiro19-Primeira-Liga,1,1,4-3-3,4-4-2,20.0,14.0,6.0,2.0,25.0,15.0,672.0,531.0,9.0,24.0,14.0,19.0,10.0,23.0,1.0,4.0,4.0,13.0,79.0,103.0,3.0,0.0,0.0,5.0,0.0,0.0,Vaná,Ivo Pinto,Fábio Martins,Gustavo Assuncao,Riccieli,Diogo Gonçalves,Roderick Miranda,Pedro Gonçalves,Anderson,Racine Coly,Uroš Račić,Rafael Defendi,Gonçalo Rodrigues,Lawrence Ofori,Rúben Lameiras,Toni Martínez,Álex Centelles,Amir Abedzadeh,Bebeto,Zainadine Júnior,Jorge Correa,Rodrigo Pinho,Rúben Rafael Sousa Ferreira,Rene Santos,Eulânio Ângelo Chipela Gomes,Josip Vuković,Diederrick Joel,Diego Moreno,Charles,Douglas Grolli,Getterson,Edgar Costa,Leandro Barrera,Jhon Cley,,,,,
17,dom,2020-01-19,20:00,Rio Ave,0.9,0.3,Boavista,2830,Estádio do Rio Ave Futebol Clube,Luís Godinho,/pt/partidas/4d87fab0/Rio-Ave-Boavista-2020Janeiro19-Primeira-Liga,2,0,4-2-3-1,4-2-3-1,15.0,20.0,3.0,5.0,17.0,16.0,654.0,590.0,14.0,14.0,8.0,21.0,12.0,19.0,1.0,1.0,8.0,3.0,118.0,71.0,1.0,0.0,0.0,4.0,0.0,0.0,Paweł Kieszek,Matheus Reis,Nélson Monte,Filipe Augusto,Toni Borevkovic,Diogo Figueiras,Ricardo José Vaz Alves Monteiro,Diego Lopes,Nuno Santos,Lucas Piazon,Mehdi Taremi,Paulo Vítor Fagundes dos Anjos,Bruno Moreira,Carlos Mané,Pedro Amaral,Joca,Messias,Helton Leite,Nwankwo Obiora,Alberto Bueno,Carraça,Fabiano Leismann,Nikola Stojiljković,Ricardo Costa,Rafael Costa,Neris,Paulinho,Heriberto Tavares,Rafael Bracalli,Lucas Tagliapietra,Gustavo Sauer,Mateus Galiano da Costa,Yusupha Njie,Idrissa Mandiang,,,,,
18,dom,2020-01-26,15:00,Tondela,1.8,0.9,Vitória Setúbal,1744,Estádio João Cardoso,Iancu Vasilica,/pt/partidas/dd2fa3f3/Tondela-Vitoria-Setubal-2020Janeiro26-Primeira-Liga,0,3,5-4-1,4-2-3-1,17.0,16.0,11.0,2.0,42.0,7.0,593.0,485.0,11.0,14.0,6.0,12.0,8.0,40.0,0.0,4.0,7.0,12.0,100.0,64.0,1.0,0.0,0.0,2.0,0.0,0.0,Cláudio Ramos,Bruno Wilson,Pité,José Luis García Vayá,Jhon Murillo,Fahd Moufi,Yohan Tavares,Tomislav Štrkalj,Filipe Ferreira,Ricardo Miguel Martins Alves,Jonathan Rubio,Babacar Niasse,António Xavier,João Pedro,João Reis,Rúben Fonseca,Richard,Giorgi Makaridze,Jubal,Artur Jorge Marques Amorim,Hélder Guedes,Éber Bessa,André Martins Sousa,Sílvio,Braian Mansilla,Bruno Pires,Carlinhos,Zequinha,Milton Raphael,Mano,Nuno Pinto,Leandrinho,Leandro Vilela,João Meira,,,,,
18,dom,2020-01-26,15:00,B-SAD,1.0,1.1,Portimonense,3280,Estádio Nacional,Carlos Xistra,/pt/partidas/ed3f0455/Belenenses-SAD-Portimonense-2020Janeiro26-Primeira-Liga,2,1,3-4-3,4-4-2,13.0,13.0,2.0,6.0,19.0,32.0,521.0,586.0,23.0,17.0,3.0,11.0,36.0,14.0,4.0,1.0,8.0,10.0,69.0,76.0,1.0,0.0,0.0,2.0,0.0,0.0,André Moreira,Show,Licá,Tiago Esgaio,Silvestre Varela,Nilton Varela,André Santos,Chima Akas,Mateo Cassierra,Gonçalo Silva,Nuno Miguel Prata Coelho,João Monteiro,Kikas,Chahreddine Boukholda,Luís Silva,Tomás Castro,Robinho Vieira,Ricardo Abel Barbosa Ferreira,Lucas Possignolo,Jadson,Dener,Jackson Martínez,Marlos Moreno,Henrique,Pedro Sá,Koki Anzai,Aylton Boa Morte,Bruno Xavier Almeida Costa,Shūichi Gonda,Emmanuel Hackman,Anderson,Willyan,Takuma Nishimura,José Gomes,,,,,
18,dom,2020-01-26,15:00,Famalicão,0.9,1.4,Santa Clara,4213,Estádio Municipal 22 de Junho,Nuno Almeida,/pt/partidas/ef8700ca/Famalicao-Santa-Clara-2020Janeiro26-Primeira-Liga,0,1,4-3-3,4-1-3-2,15.0,14.0,12.0,7.0,38.0,15.0,666.0,444.0,20.0,19.0,14.0,25.0,13.0,32.0,1.0,1.0,8.0,16.0,71.0,104.0,2.0,0.0,0.0,4.0,0.0,0.0,Vaná,Ivo Pinto,Fábio Martins,Gustavo Assuncao,Riccieli,Diogo Gonçalves,Toni Martínez,Roderick Miranda,Pedro Gonçalves,Racine Coly,Uroš Račić,Rafael Defendi,Gonçalo Rodrigues,Walterson,Lawrence Ofori,Álex Centelles,Anderson,Marco André Rocha Pereira,Fábio Cardoso,João Afonso,Carlos,Lincoln,Costinha,Mamadu Candé,Anderson Carvalho,Francisco Ramos,Patrick,Guilherme Schettine,André Ferreira,Zaidu Sanusi,Ukra,César,Thiago Santana,Rui Filipe Cunha Correia,,,,,
18,dom,2020-01-26,17:30,Paços,0.5,2.5,Benfica,9146,Estádio da Capital do Móvel,Manuel Oliveira,/pt/partidas/c2163a6b/Pacos-de-Ferreira-Benfica-2020Janeiro26-Primeira-Liga,0,2,4-2-3-1,4-4-1-1,17.0,14.0,6.0,7.0,24.0,20.0,597.0,634.0,19.0,18.0,12.0,11.0,16.0,28.0,1.0,4.0,12.0,6.0,99.0,83.0,3.0,0.0,0.0,2.0,0.0,0.0,Ricardo Ribeiro,Marco Baixinho,André Micael,Oleg Reabciuk,Pedro Filipe Barbosa Moreira,Hélder Ferreira,Adriano Castanheira,Jorge Fernando Santos Silva,Lamine Diaby,Stephen Eustáquio,Douglas Tanque,Simão Bertelli,Bruno Teles,Zé Uilton,Vasco Rocha,João Amaral,Marcelo dos Santos Ferreira,Odisseas Vlachodimos,Álex Grimaldo,Rúben Dias,Gabriel,Franco Cervi,Pizzi,Rafa Silva,Julian Weigl,André Almeida,Carlos Vinícius,Francisco Reis Ferreira,Ivan Zlobin,Haris Seferović,Chiquinho,Jardel,Adel Taarabt,Jota,,,,,
18,dom,2020-01-26,20:00,Aves,0.2,0.5,Boavista,1526,Estádio Clube Desportivo das Aves,Hugo Miguel,/pt/partidas/000ff916/Aves-Boavista-2020Janeiro26-Primeira-Liga,0,1,4-4-2,3-4-3,15.0,24.0,4.0,4.0,22.0,16.0,514.0,422.0,9.0,21.0,5.0,13.0,17.0,22.0,3.0,3.0,16.0,6.0,93.0,93.0,4.0,0.0,0.0,5.0,0.0,0.0,Quentin Beunardeau,Oumar Diakhite,Ricardo Mangas,Zidane Banjaqui,Reko,Mehrdad Mohammadi,Claudio Falcão,Bruno Morais,Estrela,Welinton Júnior,Arthur Yamga,Fábio Szymonek,Abdoulaye Diallo,Jaílson Araújo,Marius Mouandilmadji,Miguel Tavares,Luiz Fernando,Helton Leite,Nwankwo Obiora,Gustavo Sauer,Yusupha Njie,Carraça,Fabiano Leismann,Ricardo Costa,Neris,Paulinho,Cassiano,Yaw Ackah,Rafael Bracalli,Lucas Tagliapietra,Mateus Galiano da Costa,Alberto Bueno,Nikola Stojiljković,Idrissa Mandiang,,,,,
18,seg,2020-01-27,18:45,Vitória,1.3,1.1,Rio Ave,9845,Estádio Dom Afonso Henriques,Hélder Malheiro,/pt/partidas/74f256b5/Vitoria-Guimaraes-Rio-Ave-2020Janeiro27-Primeira-Liga,1,2,4-1-4-1,4-4-2,14.0,18.0,14.0,1.0,48.0,6.0,654.0,510.0,8.0,18.0,11.0,14.0,7.0,38.0,6.0,1.0,4.0,13.0,73.0,76.0,0.0,0.0,0.0,4.0,0.0,0.0,Douglas,Pedrão,Rafa Soares,Edmond Tapsoba,Lucas Evangelista,André André,Léo Bonatini,Víctor Hugo García,Marcus Edwards,Pedro Rodrigues,Davidson da Luz Pereira,João Miguel Macedo Silva,Frederico Venâncio,João Carlos Teixeira,Rochinha,Falaye Sacko,Denis-Will Poha,Paweł Kieszek,Matheus Reis,Filipe Augusto,Toni Borevkovic,Diogo Figueiras,Ricardo José Vaz Alves Monteiro,Diego Lopes,Nuno Santos,Lucas Piazon,Aderlan Santos,Mehdi Taremi,Paulo Vítor Fagundes dos Anjos,Nélson Monte,Bruno Moreira,Junio,Carlos Mané,Pedro Amaral,,,,,
18,seg,2020-01-27,21:00,Sporting CP,1.0,0.4,Marítimo,12798,Estádio José Alvalade,Rui Costa,/pt/partidas/df9d74de/Sporting-CP-Maritimo-2020Janeiro27-Primeira-Liga,1,0,4-2-3-1,4-4-2,13.0,14.0,12.0,3.0,25.0,16.0,575.0,517.0,17.0,21.0,13.0,17.0,12.0,25.0,2.0,1.0,7.0,11.0,75.0,78.0,2.0,0.0,0.0,3.0,0.0,0.0,Luís Maximiano,Sebastián Coates,Rafael Camacho,Bruno Fernandes,Stefan Ristovski,Luís Neto,Jesé,Cristian Borja,Luiz Phellype,Wendel,Idrissa Doumbia,Diogo Fesnard Sousa,Tiago Ilori,Rodrigo Battaglia,Valentin Rosier,Gonzalo Plata,Jovane Cabral,Amir Abedzadeh,Bebeto,Zainadine Júnior,Jorge Correa,Rodrigo Pinho,Rúben Rafael Sousa Ferreira,Rene Santos,Eulânio Ângelo Chipela Gomes,Josip Vuković,Diederrick Joel,Diego Moreno,Charles,Douglas Grolli,Getterson,Edgar Costa,Franck-Yves Bambock,Fábio China,,,,,
